model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.89,91.6,94.2,"(-1.29, +1.31)",992.0,2025-07-09
qwen-3-235b-a22b-fp8,88.71,87.43,90.34,"(-1.28, +1.63)",1036.0,2025-07-09
gemma-3-27b-it,86.88,85.26,88.48,"(-1.62, +1.60)",1614.0,2025-07-09
qwen-3-32b,85.05,83.55,86.74,"(-1.50, +1.69)",1104.0,2025-07-09
deepseek-reasoner,82.0,80.38,83.55,"(-1.62, +1.55)",874.0,2025-07-09
deepseek-chat,81.88,79.62,83.27,"(-2.26, +1.39)",1009.0,2025-07-09
gemma-3-12b-it,77.56,74.97,80.0,"(-2.59, +2.44)",1703.0,2025-07-09
qwen-3-30b-a3b,76.54,74.51,78.66,"(-2.03, +2.12)",1091.0,2025-07-09
qwen-3-14b,73.67,71.32,75.82,"(-2.35, +2.15)",1092.0,2025-07-09
qwen-3-sft-epoch-1,70.57,68.47,73.07,"(-2.10, +2.50)",726.0,2025-07-09
qwen3-greek-thinking-dpo,70.2,68.23,72.35,"(-1.97, +2.15)",715.0,2025-07-09
gpt-4o,61.58,59.85,63.28,"(-1.73, +1.70)",659.0,2025-07-09
krikri-merge-linear-50-latest_50-teachers-gemma-r1-dpo,55.67,53.24,57.78,"(-2.43, +2.11)",929.0,2025-07-09
Llama-4-Scout-17B-16E-Instruct,55.31,52.49,57.92,"(-2.82, +2.61)",894.0,2025-07-09
krikri-merge-linear-40-latest_60-teachers-gemma-r1-dpo,52.84,50.79,55.46,"(-2.05, +2.62)",929.0,2025-07-09
krikri-merge-linear-60-latest_40-teachers-gemma-r1-dpo,52.3,50.59,54.82,"(-1.71, +2.52)",945.0,2025-07-09
mistral-small-3.1-24b-instruct-2503,51.28,48.24,53.33,"(-3.04, +2.05)",914.0,2025-07-09
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,50.55,48.08,52.75,"(-2.47, +2.20)",938.0,2025-07-09
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-09
krikri-neo1-sft-teachers-gemma-r1-dpo,47.5,44.97,49.88,"(-2.53, +2.38)",971.0,2025-07-09
aya-expanse-32b,45.64,43.8,48.09,"(-1.84, +2.45)",943.0,2025-07-09
gemma-3-4b-it,45.03,43.16,46.81,"(-1.87, +1.78)",1538.0,2025-07-09
krikri-neo1-sft-teachers-all-dpo,43.66,41.36,45.73,"(-2.30, +2.07)",895.0,2025-07-09
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.21,40.93,45.65,"(-2.28, +2.44)",0.0,2025-07-09
krikri-neo1-sft-teachers-all,42.08,39.67,44.7,"(-2.41, +2.62)",887.0,2025-07-09
krikri-neo1-sft-teachers-gemma-r1,41.78,39.68,43.77,"(-2.10, +1.99)",927.0,2025-07-09
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,40.46,37.75,42.87,"(-2.71, +2.41)",692.0,2025-07-09
krikri-8b-instruct-temp0_35,37.54,35.13,39.79,"(-2.41, +2.25)",712.0,2025-07-09
krikri-neo1-sft-teachers-r1,36.31,34.53,38.52,"(-1.78, +2.21)",715.0,2025-07-09
krikri-8b-instruct-with-thinking-temp0_35,36.28,33.75,38.17,"(-2.53, +1.89)",634.0,2025-07-09
krikri-neo1-sft-teachers-r1-dpo,35.87,33.11,37.65,"(-2.76, +1.78)",724.0,2025-07-09
gemma-2-27b-it,32.45,30.37,34.68,"(-2.08, +2.23)",675.0,2025-07-09
command-rplus,31.47,28.67,33.41,"(-2.80, +1.94)",846.0,2025-07-09
krikri-neo-lora-sft-stage-1,31.2,28.93,33.31,"(-2.27, +2.11)",1340.0,2025-07-09
aya-expanse-8b,25.37,23.33,27.01,"(-2.04, +1.64)",954.0,2025-07-09
llama-3.1-70b,23.49,21.14,25.95,"(-2.35, +2.46)",693.0,2025-07-09
krikri-neo1-sft-all,17.46,15.57,19.42,"(-1.89, +1.96)",993.0,2025-07-09
krikri-merge-slerp_balanced-base-latest_teachers-gemma-r1-dpo,11.99,10.59,13.21,"(-1.40, +1.22)",1185.0,2025-07-09
krikri-merge-slerp_balanced-base-teachers-gemma-r1-dpo_latest,11.97,10.74,13.48,"(-1.23, +1.51)",1200.0,2025-07-09
llama-3.1-8b,3.57,2.95,4.43,"(-0.62, +0.86)",1079.0,2025-07-09
qwen-3-1.7b,2.64,2.12,3.16,"(-0.52, +0.52)",1645.0,2025-07-09
meltemi-instruct-7b-v1.5-orpo,2.28,1.62,2.97,"(-0.66, +0.69)",715.0,2025-07-09
