model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.48,91.07,93.86,"(-1.41, +1.38)",992.0,2025-05-21
qwen-3-235b-a22b-fp8,88.31,86.57,89.74,"(-1.74, +1.43)",1036.0,2025-05-21
gemma-3-27b-it,85.83,83.96,87.06,"(-1.87, +1.23)",1614.0,2025-05-21
qwen-3-32b,84.25,82.64,85.57,"(-1.61, +1.32)",1104.0,2025-05-21
deepseek-reasoner,81.96,80.42,83.93,"(-1.54, +1.97)",874.0,2025-05-21
deepseek-chat,80.88,79.07,82.72,"(-1.81, +1.84)",1009.0,2025-05-21
gemma-3-12b-it,75.67,73.6,77.86,"(-2.07, +2.19)",1703.0,2025-05-21
qwen-3-30b-a3b,75.25,73.71,77.76,"(-1.54, +2.51)",1091.0,2025-05-21
qwen-3-14b,72.44,70.46,75.07,"(-1.98, +2.63)",1092.0,2025-05-21
gpt-4o,62.36,60.84,64.16,"(-1.52, +1.80)",659.0,2025-05-21
Llama-4-Scout-17B-16E-Instruct,53.79,51.14,56.34,"(-2.65, +2.55)",894.0,2025-05-21
mistral-small-3.1-24b-instruct-2503,50.62,47.59,52.86,"(-3.03, +2.24)",914.0,2025-05-21
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,50.33,48.1,52.97,"(-2.23, +2.64)",938.0,2025-05-21
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-05-21
aya-expanse-32b,44.89,42.82,47.12,"(-2.07, +2.23)",943.0,2025-05-21
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,44.58,42.03,47.09,"(-2.55, +2.51)",0.0,2025-05-21
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,42.73,40.03,45.35,"(-2.70, +2.62)",692.0,2025-05-21
gemma-3-4b-it,42.37,39.96,44.45,"(-2.41, +2.08)",1538.0,2025-05-21
krikri-8b-instruct-temp0_35,39.61,37.41,42.61,"(-2.20, +3.00)",712.0,2025-05-21
krikri-8b-instruct-with-thinking-temp0_35,39.06,36.56,42.12,"(-2.50, +3.06)",634.0,2025-05-21
gemma-2-27b-it,33.83,31.42,36.32,"(-2.41, +2.49)",675.0,2025-05-21
command-rplus,30.67,28.65,33.42,"(-2.02, +2.75)",846.0,2025-05-21
aya-expanse-8b,24.76,23.02,26.67,"(-1.74, +1.91)",954.0,2025-05-21
llama-3.1-70b,23.57,21.49,26.19,"(-2.08, +2.62)",693.0,2025-05-21
llama-3.1-8b,3.29,2.63,3.97,"(-0.66, +0.68)",1079.0,2025-05-21
qwen-3-1.7b,2.26,1.82,2.75,"(-0.44, +0.49)",1645.0,2025-05-21
meltemi-instruct-7b-v1.5-orpo,2.1,1.52,2.8,"(-0.58, +0.70)",715.0,2025-05-21
