model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,81.9,79.45,83.83,"(-2.45, +1.93)",874.0,2025-03-11
deepseek-chat,67.34,64.54,70.57,"(-2.80, +3.23)",1009.0,2025-03-11
claude-3.5-sonnet-v2,61.25,58.63,63.58,"(-2.62, +2.33)",636.0,2025-03-11
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,44.96,41.62,48.26,"(-3.34, +3.30)",966.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,44.31,40.91,46.97,"(-3.40, +2.66)",933.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,44.11,41.73,46.92,"(-2.38, +2.81)",938.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,41.78,39.44,44.48,"(-2.34, +2.70)",942.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,41.0,38.49,43.64,"(-2.51, +2.64)",958.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,38.42,35.84,41.45,"(-2.58, +3.03)",739.0,2025-03-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,37.6,35.08,40.51,"(-2.52, +2.91)",901.0,2025-03-11
aya-expanse-32b,36.96,34.06,39.44,"(-2.90, +2.48)",943.0,2025-03-11
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,34.09,31.63,36.86,"(-2.46, +2.77)",692.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,33.07,30.81,35.3,"(-2.26, +2.23)",756.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,31.24,28.86,33.36,"(-2.38, +2.12)",788.0,2025-03-11
gemma-2-27b-it,29.24,26.92,31.63,"(-2.32, +2.39)",675.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,28.62,26.57,30.79,"(-2.05, +2.17)",0.0,2025-03-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,27.71,25.84,29.94,"(-1.87, +2.23)",712.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,27.35,25.02,29.6,"(-2.33, +2.25)",0.0,2025-03-11
command-rplus,26.03,23.32,28.03,"(-2.71, +2.00)",846.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,24.74,22.05,27.02,"(-2.69, +2.28)",707.0,2025-03-11
llama-3.1-70b,24.53,21.92,26.92,"(-2.61, +2.39)",693.0,2025-03-11
aya-expanse-8b,21.31,18.98,23.83,"(-2.33, +2.52)",954.0,2025-03-11
krikri-annealing-dpo-mixed-run1,15.32,13.87,17.15,"(-1.45, +1.83)",1487.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-run4,13.68,12.23,15.35,"(-1.45, +1.67)",953.0,2025-03-11
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,13.55,12.2,15.41,"(-1.35, +1.86)",899.0,2025-03-11
krikri-annealing-sft-stage2-run4,12.32,10.76,13.77,"(-1.56, +1.45)",753.0,2025-03-11
command-r,11.37,9.99,13.36,"(-1.38, +1.99)",659.0,2025-03-11
krikri-annealing-sft-mixed-run1,10.89,9.33,12.12,"(-1.56, +1.23)",1182.0,2025-03-11
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,9.72,8.69,11.24,"(-1.03, +1.52)",471.0,2025-03-11
mixtral-8x7b-instruct-v0.1,5.65,4.58,6.73,"(-1.07, +1.08)",540.0,2025-03-11
llama-3.1-8b,3.47,2.63,4.37,"(-0.84, +0.90)",1079.0,2025-03-11
mistral-7b-instruct-v0.2,2.44,1.79,3.04,"(-0.65, +0.60)",548.0,2025-03-11
meltemi-instruct-7b-v1.5-orpo,1.99,1.36,2.65,"(-0.63, +0.66)",715.0,2025-03-11
gemma2-9b-it,0.1,0.08,0.14,"(-0.02, +0.04)",3.0,2025-03-11
