model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,57.42,54.28,59.89,"(-3.14, +2.47)",636.0,2025-02-15
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,39.65,36.56,42.35,"(-3.09, +2.70)",938.0,2025-02-15
aya-expanse-32b,32.9,30.25,35.15,"(-2.65, +2.25)",943.0,2025-02-15
gemma-2-27b-it,26.01,23.17,28.31,"(-2.84, +2.30)",675.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,25.08,22.49,27.15,"(-2.59, +2.07)",0.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,23.93,21.87,26.11,"(-2.06, +2.18)",0.0,2025-02-15
command-rplus,23.03,21.19,24.99,"(-1.84, +1.96)",846.0,2025-02-15
llama-3.1-70b,21.96,19.76,24.29,"(-2.20, +2.33)",693.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,21.64,19.84,23.93,"(-1.80, +2.29)",707.0,2025-02-15
aya-expanse-8b,18.39,16.79,20.23,"(-1.60, +1.84)",954.0,2025-02-15
krikri-annealing-dpo-mixed-run1,12.89,11.22,14.46,"(-1.67, +1.57)",1487.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-run4,11.62,10.36,12.98,"(-1.26, +1.36)",953.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,11.54,10.22,13.09,"(-1.32, +1.55)",899.0,2025-02-15
krikri-annealing-sft-stage2-run4,10.55,9.3,11.81,"(-1.25, +1.26)",753.0,2025-02-15
command-r,9.98,8.67,11.31,"(-1.31, +1.33)",659.0,2025-02-15
krikri-annealing-sft-mixed-run1,9.1,7.93,10.23,"(-1.17, +1.13)",1182.0,2025-02-15
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,8.38,7.36,9.72,"(-1.02, +1.34)",471.0,2025-02-15
mixtral-8x7b-instruct-v0.1,4.96,4.17,6.01,"(-0.79, +1.05)",540.0,2025-02-15
llama-3.1-8b,2.88,2.28,3.57,"(-0.60, +0.69)",1079.0,2025-02-15
mistral-7b-instruct-v0.2,2.12,1.57,2.65,"(-0.55, +0.53)",548.0,2025-02-15
meltemi-instruct-7b-v1.5-orpo,1.68,1.25,2.21,"(-0.43, +0.53)",715.0,2025-02-15
gemma2-9b-it,0.08,0.07,0.1,"(-0.01, +0.02)",3.0,2025-02-15
