model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,83.81,81.76,85.3,"(-2.05, +1.49)",874.0,2025-04-11
gemma-3-27b-it,72.41,70.09,75.38,"(-2.32, +2.97)",1614.0,2025-04-11
deepseek-chat,70.34,67.68,72.38,"(-2.66, +2.04)",1009.0,2025-04-11
claude-3.5-sonnet-v2,65.14,62.92,67.52,"(-2.22, +2.38)",636.0,2025-04-11
gemma-3-12b-it,59.95,57.25,63.27,"(-2.70, +3.32)",1703.0,2025-04-11
Llama-4-Scout-17B-16E-Instruct,51.91,49.06,54.7,"(-2.85, +2.79)",894.0,2025-04-11
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-04-11
mistral-small-3.1-24b-instruct-2503,49.1,46.51,52.26,"(-2.59, +3.16)",914.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,48.29,45.8,51.11,"(-2.49, +2.82)",966.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,47.67,44.31,50.32,"(-3.36, +2.65)",933.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,47.44,44.72,50.22,"(-2.72, +2.78)",938.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,45.08,42.42,48.1,"(-2.66, +3.02)",942.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,44.29,40.63,46.47,"(-3.66, +2.18)",958.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,41.93,39.22,44.98,"(-2.71, +3.05)",739.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,40.9,38.19,43.72,"(-2.71, +2.82)",901.0,2025-04-11
aya-expanse-32b,40.32,37.38,42.71,"(-2.94, +2.39)",943.0,2025-04-11
base_neo_arcee_fusion_round-2_base,40.11,37.49,43.04,"(-2.62, +2.93)",868.0,2025-04-11
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,37.74,35.08,40.86,"(-2.66, +3.12)",692.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,36.38,33.89,39.07,"(-2.49, +2.69)",756.0,2025-04-11
gemma-3-4b-it,35.45,33.21,37.53,"(-2.24, +2.08)",1538.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,34.46,31.66,36.82,"(-2.80, +2.36)",788.0,2025-04-11
gemma-2-27b-it,32.2,29.78,35.0,"(-2.42, +2.80)",675.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,31.8,29.71,34.04,"(-2.09, +2.24)",0.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,30.82,28.73,33.24,"(-2.09, +2.42)",712.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,30.46,28.23,32.69,"(-2.23, +2.23)",0.0,2025-04-11
command-rplus,29.01,26.65,31.88,"(-2.36, +2.87)",846.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,27.88,25.7,30.26,"(-2.18, +2.38)",707.0,2025-04-11
llama-3.1-70b,27.37,25.1,29.94,"(-2.27, +2.57)",693.0,2025-04-11
aya-expanse-8b,23.81,21.76,25.61,"(-2.05, +1.80)",954.0,2025-04-11
krikri-annealing-dpo-mixed-run1,16.92,15.27,18.71,"(-1.65, +1.79)",1487.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-run4,15.71,13.94,17.69,"(-1.77, +1.98)",953.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,15.57,14.13,17.37,"(-1.44, +1.80)",899.0,2025-04-11
krikri-annealing-sft-stage2-run4,14.21,12.86,15.78,"(-1.35, +1.57)",753.0,2025-04-11
command-r,13.0,11.6,14.85,"(-1.40, +1.85)",659.0,2025-04-11
krikri-annealing-sft-mixed-run1,12.15,10.76,13.77,"(-1.39, +1.62)",1182.0,2025-04-11
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,11.29,9.67,12.63,"(-1.62, +1.34)",471.0,2025-04-11
mixtral-8x7b-instruct-v0.1,6.59,5.15,7.92,"(-1.44, +1.33)",540.0,2025-04-11
llama-3.1-8b,4.0,3.12,4.99,"(-0.88, +0.99)",1079.0,2025-04-11
mistral-7b-instruct-v0.2,2.8,2.12,3.62,"(-0.68, +0.82)",548.0,2025-04-11
meltemi-instruct-7b-v1.5-orpo,2.4,1.64,3.19,"(-0.76, +0.79)",715.0,2025-04-11
