model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",1446.0,2025-02-06
gpt-4o,48.42,47.77,48.94,"(-0.65, +0.52)",1361.0,2025-02-06
krikri-annealing-dpo-mixed-run1,35.76,34.76,35.95,"(-1.00, +0.19)",2218.0,2025-02-06
aya-expanse-8b,35.09,34.42,36.01,"(-0.67, +0.92)",2145.0,2025-02-06
command-rplus,25.72,24.52,27.32,"(-1.20, +1.60)",1885.0,2025-02-06
llama-3.1-70b,13.8,12.86,14.52,"(-0.94, +0.72)",1387.0,2025-02-06
command-r,6.36,5.97,6.98,"(-0.39, +0.62)",1486.0,2025-02-06
llama-3.1-8b,2.99,2.58,3.39,"(-0.41, +0.40)",2217.0,2025-02-06
mixtral-8x7b-instruct-v0.1,2.55,1.99,2.93,"(-0.56, +0.38)",914.0,2025-02-06
meltemi-instruct-7b-v1.5-orpo,1.38,1.07,1.62,"(-0.31, +0.24)",1431.0,2025-02-06
mistral-7b-instruct-v0.2,0.76,0.52,1.01,"(-0.24, +0.25)",689.0,2025-02-06
gemma2-9b-it,0.49,0.28,0.64,"(-0.21, +0.15)",3.0,2025-02-06
