model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,60.26,57.5,62.56,"(-2.76, +2.30)",636.0,2025-03-08
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,44.42,41.35,46.73,"(-3.07, +2.31)",966.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,43.76,41.09,46.24,"(-2.67, +2.48)",933.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,43.56,40.11,47.11,"(-3.45, +3.55)",938.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,41.24,38.75,44.03,"(-2.49, +2.79)",942.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,40.47,37.2,43.79,"(-3.27, +3.32)",958.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,37.04,34.81,39.66,"(-2.23, +2.62)",901.0,2025-03-08
aya-expanse-32b,36.47,33.69,38.69,"(-2.78, +2.22)",943.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,32.46,29.77,34.76,"(-2.69, +2.30)",756.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,30.65,27.95,33.28,"(-2.70, +2.63)",788.0,2025-03-08
gemma-2-27b-it,28.7,26.44,30.85,"(-2.26, +2.15)",675.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,28.04,25.99,30.16,"(-2.05, +2.12)",0.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,27.12,25.19,29.29,"(-1.93, +2.17)",712.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,26.77,24.44,29.5,"(-2.33, +2.73)",0.0,2025-03-08
command-rplus,25.53,23.22,27.4,"(-2.31, +1.87)",846.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,24.13,22.64,26.24,"(-1.49, +2.11)",707.0,2025-03-08
llama-3.1-70b,24.0,21.87,26.25,"(-2.13, +2.25)",693.0,2025-03-08
aya-expanse-8b,20.96,18.92,23.12,"(-2.04, +2.16)",954.0,2025-03-08
krikri-annealing-dpo-mixed-run1,15.23,13.59,17.02,"(-1.64, +1.79)",1487.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-run4,13.32,11.93,14.91,"(-1.39, +1.59)",953.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,13.17,11.7,14.96,"(-1.47, +1.79)",899.0,2025-03-08
krikri-annealing-sft-stage2-run4,11.92,10.39,13.69,"(-1.53, +1.77)",753.0,2025-03-08
command-r,11.1,9.5,12.71,"(-1.60, +1.61)",659.0,2025-03-08
krikri-annealing-sft-mixed-run1,10.65,9.57,12.03,"(-1.08, +1.38)",1182.0,2025-03-08
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,9.29,8.03,10.59,"(-1.26, +1.30)",471.0,2025-03-08
mixtral-8x7b-instruct-v0.1,5.56,4.42,6.53,"(-1.14, +0.97)",540.0,2025-03-08
llama-3.1-8b,3.42,2.53,4.4,"(-0.89, +0.98)",1079.0,2025-03-08
mistral-7b-instruct-v0.2,2.37,1.74,3.23,"(-0.63, +0.86)",548.0,2025-03-08
meltemi-instruct-7b-v1.5-orpo,1.96,1.45,2.61,"(-0.51, +0.65)",715.0,2025-03-08
gemma2-9b-it,0.09,0.08,0.13,"(-0.01, +0.04)",3.0,2025-03-08
