model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,83.87,81.84,85.55,"(-2.03, +1.68)",874.0,2025-03-18
gemma-3-27b-it,72.48,70.25,75.44,"(-2.23, +2.96)",1614.0,2025-03-18
deepseek-chat,70.69,68.65,73.81,"(-2.04, +3.12)",1009.0,2025-03-18
claude-3.5-sonnet-v2,65.05,62.56,67.11,"(-2.49, +2.06)",636.0,2025-03-18
gemma-3-12b-it,60.01,57.62,63.25,"(-2.39, +3.24)",1703.0,2025-03-18
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-18
mistral-small-3.1-24b-instruct-2503,49.34,46.54,52.42,"(-2.80, +3.08)",914.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,48.3,45.59,51.34,"(-2.71, +3.04)",966.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,47.66,44.18,50.36,"(-3.48, +2.70)",933.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,47.43,45.11,50.03,"(-2.32, +2.60)",938.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,45.07,42.47,47.82,"(-2.60, +2.75)",942.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,44.29,41.56,46.93,"(-2.73, +2.64)",958.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,41.87,39.2,45.14,"(-2.67, +3.27)",739.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,40.9,38.07,43.29,"(-2.83, +2.39)",901.0,2025-03-18
aya-expanse-32b,40.4,37.5,42.69,"(-2.90, +2.29)",943.0,2025-03-18
base_neo_arcee_fusion_round-2_base,40.09,36.89,42.65,"(-3.20, +2.56)",868.0,2025-03-18
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,37.65,34.86,40.65,"(-2.79, +3.00)",692.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,36.37,33.71,38.97,"(-2.66, +2.60)",756.0,2025-03-18
gemma-3-4b-it,35.53,33.11,38.38,"(-2.42, +2.85)",1538.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,34.45,31.63,36.81,"(-2.82, +2.36)",788.0,2025-03-18
gemma-2-27b-it,32.22,29.84,34.88,"(-2.38, +2.66)",675.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,31.77,29.4,33.95,"(-2.37, +2.18)",0.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,30.8,28.74,33.27,"(-2.06, +2.47)",712.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,30.44,28.38,32.7,"(-2.06, +2.26)",0.0,2025-03-18
command-rplus,29.12,26.71,31.43,"(-2.41, +2.31)",846.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,27.83,25.11,30.25,"(-2.72, +2.42)",707.0,2025-03-18
llama-3.1-70b,27.47,25.31,29.85,"(-2.16, +2.38)",693.0,2025-03-18
aya-expanse-8b,23.86,21.84,25.73,"(-2.02, +1.87)",954.0,2025-03-18
krikri-annealing-dpo-mixed-run1,17.09,15.37,18.94,"(-1.72, +1.85)",1487.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-run4,15.66,14.16,17.6,"(-1.50, +1.94)",953.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,15.52,13.91,17.34,"(-1.61, +1.82)",899.0,2025-03-18
krikri-annealing-sft-stage2-run4,14.14,12.58,16.32,"(-1.56, +2.18)",753.0,2025-03-18
command-r,13.01,11.19,15.24,"(-1.82, +2.23)",659.0,2025-03-18
krikri-annealing-sft-mixed-run1,12.18,10.71,13.83,"(-1.47, +1.65)",1182.0,2025-03-18
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,11.19,9.46,12.62,"(-1.73, +1.43)",471.0,2025-03-18
mixtral-8x7b-instruct-v0.1,6.51,5.04,8.0,"(-1.47, +1.49)",540.0,2025-03-18
llama-3.1-8b,3.98,3.26,4.98,"(-0.72, +1.00)",1079.0,2025-03-18
mistral-7b-instruct-v0.2,2.8,2.03,3.37,"(-0.77, +0.57)",548.0,2025-03-18
meltemi-instruct-7b-v1.5-orpo,2.42,1.6,3.15,"(-0.82, +0.73)",715.0,2025-03-18
