model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.82,91.34,94.19,"(-1.48, +1.37)",992.0,2025-07-05
qwen-3-235b-a22b-fp8,88.62,86.97,89.85,"(-1.65, +1.23)",1036.0,2025-07-05
gemma-3-27b-it,86.11,84.17,87.37,"(-1.94, +1.26)",1614.0,2025-07-05
qwen-3-32b,84.85,83.23,86.77,"(-1.62, +1.92)",1104.0,2025-07-05
deepseek-reasoner,81.93,80.15,83.58,"(-1.78, +1.65)",874.0,2025-07-05
deepseek-chat,81.66,79.89,83.27,"(-1.77, +1.61)",1009.0,2025-07-05
qwen-3-30b-a3b,76.33,74.5,78.32,"(-1.83, +1.99)",1091.0,2025-07-05
gemma-3-12b-it,76.29,74.06,78.7,"(-2.23, +2.41)",1703.0,2025-07-05
qwen-3-14b,73.46,71.31,75.4,"(-2.15, +1.94)",1092.0,2025-07-05
qwen-3-sft-epoch-1,70.34,68.44,72.4,"(-1.90, +2.06)",726.0,2025-07-05
qwen3-greek-thinking-dpo,70.03,67.74,71.85,"(-2.29, +1.82)",715.0,2025-07-05
gpt-4o,61.63,59.63,63.41,"(-2.00, +1.78)",659.0,2025-07-05
Llama-4-Scout-17B-16E-Instruct,54.75,52.07,57.84,"(-2.68, +3.09)",894.0,2025-07-05
mistral-small-3.1-24b-instruct-2503,50.88,48.24,53.6,"(-2.64, +2.72)",914.0,2025-07-05
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,49.73,47.34,52.27,"(-2.39, +2.54)",938.0,2025-07-05
krikri-neo1-sft-teachers-gemma-r1-dpo,46.67,44.49,49.18,"(-2.18, +2.51)",971.0,2025-07-05
aya-expanse-32b,44.96,41.67,47.54,"(-3.29, +2.58)",943.0,2025-07-05
gemma-3-4b-it,43.28,40.71,45.73,"(-2.57, +2.45)",1538.0,2025-07-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,42.96,40.74,45.24,"(-2.22, +2.28)",0.0,2025-07-05
krikri-neo1-sft-teachers-all-dpo,42.92,40.11,45.34,"(-2.81, +2.42)",895.0,2025-07-05
krikri-neo1-sft-teachers-all,41.39,39.23,43.51,"(-2.16, +2.12)",887.0,2025-07-05
krikri-neo1-sft-teachers-gemma-r1,41.01,38.95,43.22,"(-2.06, +2.21)",927.0,2025-07-05
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,40.57,38.12,43.48,"(-2.45, +2.91)",692.0,2025-07-05
krikri-8b-instruct-temp0_35,37.61,35.15,40.36,"(-2.46, +2.75)",712.0,2025-07-05
krikri-8b-instruct-with-thinking-temp0_35,36.66,34.64,39.78,"(-2.02, +3.12)",634.0,2025-07-05
krikri-neo1-sft-teachers-r1,36.08,33.73,38.15,"(-2.35, +2.07)",715.0,2025-07-05
krikri-neo1-sft-teachers-r1-dpo,35.61,32.94,37.79,"(-2.67, +2.18)",724.0,2025-07-05
gemma-2-27b-it,32.24,29.41,34.9,"(-2.83, +2.66)",675.0,2025-07-05
command-rplus,30.94,28.56,33.78,"(-2.38, +2.84)",846.0,2025-07-05
krikri-neo-lora-sft-stage-1,29.81,27.65,32.0,"(-2.16, +2.19)",1340.0,2025-07-05
aya-expanse-8b,24.75,22.94,27.26,"(-1.81, +2.51)",954.0,2025-07-05
llama-3.1-70b,23.22,20.76,24.99,"(-2.46, +1.77)",693.0,2025-07-05
krikri-neo1-sft-all,17.13,15.54,18.78,"(-1.59, +1.65)",993.0,2025-07-05
llama-3.1-8b,3.42,2.73,4.45,"(-0.69, +1.03)",1079.0,2025-07-05
qwen-3-1.7b,2.56,2.04,3.05,"(-0.52, +0.49)",1645.0,2025-07-05
meltemi-instruct-7b-v1.5-orpo,2.24,1.67,2.92,"(-0.57, +0.68)",715.0,2025-07-05
