model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,63.65,65.76,"(-1.45, +0.66)",1093.0,2025-02-07
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",1446.0,2025-02-07
aya-expanse-8b,26.49,25.96,27.94,"(-0.53, +1.45)",2145.0,2025-02-07
command-rplus,24.7,24.02,25.88,"(-0.68, +1.18)",1885.0,2025-02-07
krikri-annealing-dpo-mixed-run1,21.69,20.39,22.19,"(-1.30, +0.50)",2218.0,2025-02-07
llama-3.1-70b,21.26,20.09,21.7,"(-1.17, +0.44)",1387.0,2025-02-07
command-r,8.81,8.09,9.29,"(-0.72, +0.48)",1486.0,2025-02-07
mixtral-8x7b-instruct-v0.1,4.5,3.83,4.8,"(-0.67, +0.30)",914.0,2025-02-07
llama-3.1-8b,4.0,3.4,4.37,"(-0.60, +0.37)",2217.0,2025-02-07
mistral-7b-instruct-v0.2,2.01,1.64,2.34,"(-0.37, +0.33)",689.0,2025-02-07
meltemi-instruct-7b-v1.5-orpo,1.42,1.16,1.71,"(-0.26, +0.29)",1431.0,2025-02-07
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-02-07
