model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,93.12,91.87,94.26,"(-1.25, +1.14)",992.0,2025-05-08
gemma-3-27b-it,86.58,84.86,87.88,"(-1.72, +1.30)",1614.0,2025-05-08
qwen-3-32b,85.38,83.74,86.67,"(-1.64, +1.29)",1104.0,2025-05-08
deepseek-reasoner,82.88,81.46,84.75,"(-1.42, +1.87)",874.0,2025-05-08
deepseek-chat,82.0,80.66,84.11,"(-1.34, +2.11)",1009.0,2025-05-08
gemma-3-12b-it,77.13,74.89,79.28,"(-2.24, +2.15)",1703.0,2025-05-08
qwen-3-30b-a3b,76.92,74.96,78.98,"(-1.96, +2.06)",1091.0,2025-05-08
qwen-3-14b,74.19,71.96,76.45,"(-2.23, +2.26)",1092.0,2025-05-08
gpt-4o,63.06,61.74,65.13,"(-1.32, +2.07)",659.0,2025-05-08
Llama-4-Scout-17B-16E-Instruct,55.23,52.68,57.34,"(-2.55, +2.11)",894.0,2025-05-08
mistral-small-3.1-24b-instruct-2503,52.18,49.35,54.52,"(-2.83, +2.34)",914.0,2025-05-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,51.8,48.85,54.41,"(-2.95, +2.61)",938.0,2025-05-08
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-05-08
aya-expanse-32b,46.38,44.28,48.71,"(-2.10, +2.33)",943.0,2025-05-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,46.1,43.82,48.22,"(-2.28, +2.12)",0.0,2025-05-08
gemma-3-4b-it,44.42,42.35,46.53,"(-2.07, +2.11)",1538.0,2025-05-08
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,44.15,41.69,46.63,"(-2.46, +2.48)",692.0,2025-05-08
krikri-8b-instruct-temp0_35,41.08,38.88,43.76,"(-2.20, +2.68)",712.0,2025-05-08
krikri-8b-instruct-with-thinking-temp0_35,40.5,37.73,42.95,"(-2.77, +2.45)",634.0,2025-05-08
gemma-2-27b-it,34.73,31.96,37.88,"(-2.77, +3.15)",675.0,2025-05-08
llama-3.1-70b,24.26,21.45,26.58,"(-2.81, +2.32)",693.0,2025-05-08
llama-3.1-8b,3.57,2.75,4.13,"(-0.82, +0.56)",1079.0,2025-05-08
qwen-3-1.7b,2.56,2.03,3.17,"(-0.53, +0.61)",1645.0,2025-05-08
