model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,56.99,53.53,59.35,"(-3.46, +2.36)",636.0,2025-02-12
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-12
aya-expanse-32b,32.13,29.26,34.21,"(-2.87, +2.08)",943.0,2025-02-12
gemma-2-27b-it,25.34,22.41,27.59,"(-2.93, +2.25)",675.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,24.46,22.8,26.8,"(-1.66, +2.34)",802.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,23.35,21.2,25.42,"(-2.15, +2.07)",781.0,2025-02-12
command-rplus,22.56,20.69,24.45,"(-1.87, +1.89)",846.0,2025-02-12
llama-3.1-70b,21.5,19.11,23.57,"(-2.39, +2.07)",693.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,21.15,19.22,23.58,"(-1.93, +2.43)",707.0,2025-02-12
aya-expanse-8b,17.81,15.94,19.33,"(-1.87, +1.52)",954.0,2025-02-12
krikri-annealing-dpo-mixed-run1,12.32,10.92,13.87,"(-1.40, +1.55)",1487.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-run4,11.33,10.03,12.64,"(-1.30, +1.31)",953.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,11.27,10.04,12.61,"(-1.23, +1.34)",899.0,2025-02-12
krikri-annealing-sft-stage2-run4,10.34,8.99,11.82,"(-1.35, +1.48)",753.0,2025-02-12
command-r,9.76,8.35,10.75,"(-1.41, +0.99)",659.0,2025-02-12
krikri-annealing-sft-mixed-run1,8.77,7.64,9.95,"(-1.13, +1.18)",1182.0,2025-02-12
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,8.22,7.21,9.43,"(-1.01, +1.21)",471.0,2025-02-12
mixtral-8x7b-instruct-v0.1,4.89,3.84,5.79,"(-1.05, +0.90)",540.0,2025-02-12
llama-3.1-8b,2.81,2.19,3.46,"(-0.62, +0.65)",1079.0,2025-02-12
mistral-7b-instruct-v0.2,2.07,1.42,2.53,"(-0.65, +0.46)",548.0,2025-02-12
meltemi-instruct-7b-v1.5-orpo,1.63,1.18,2.31,"(-0.45, +0.68)",715.0,2025-02-12
gemma2-9b-it,0.07,0.07,0.09,"(-0.00, +0.02)",3.0,2025-02-12
