model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,55.63,52.41,58.38,"(-3.22, +2.75)",636.0,2025-02-09
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-09
aya-expanse-32b,31.34,29.26,33.73,"(-2.08, +2.39)",943.0,2025-02-09
gemma-2-27b-it,25.0,22.88,26.79,"(-2.12, +1.79)",675.0,2025-02-09
command-rplus,21.73,20.02,23.66,"(-1.71, +1.93)",846.0,2025-02-09
llama-3.1-70b,20.83,18.99,22.86,"(-1.84, +2.03)",693.0,2025-02-09
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,20.45,18.3,22.48,"(-2.15, +2.03)",707.0,2025-02-09
aya-expanse-8b,17.36,15.89,19.36,"(-1.47, +2.00)",954.0,2025-02-09
krikri-annealing-dpo-mixed-run1,12.27,10.43,14.12,"(-1.84, +1.85)",1487.0,2025-02-09
krikri-annealing-sft-stage2-dpo_max-run4,10.81,9.4,12.27,"(-1.41, +1.46)",953.0,2025-02-09
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,10.76,9.32,12.04,"(-1.44, +1.28)",899.0,2025-02-09
krikri-annealing-sft-stage2-run4,9.86,8.53,11.05,"(-1.33, +1.19)",753.0,2025-02-09
command-r,9.27,7.93,10.51,"(-1.34, +1.24)",659.0,2025-02-09
krikri-annealing-sft-mixed-run1,8.64,7.44,9.74,"(-1.20, +1.10)",1182.0,2025-02-09
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,7.81,6.53,9.34,"(-1.28, +1.53)",471.0,2025-02-09
mixtral-8x7b-instruct-v0.1,4.66,3.85,5.56,"(-0.81, +0.90)",540.0,2025-02-09
llama-3.1-8b,2.69,2.01,3.27,"(-0.68, +0.58)",1079.0,2025-02-09
mistral-7b-instruct-v0.2,1.95,1.35,2.5,"(-0.60, +0.55)",548.0,2025-02-09
meltemi-instruct-7b-v1.5-orpo,1.56,1.0,2.08,"(-0.56, +0.52)",715.0,2025-02-09
gemma2-9b-it,0.07,0.06,0.08,"(-0.01, +0.01)",3.0,2025-02-09
