model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,64.13,66.25,"(-0.97, +1.15)",1093.0,2025-02-08
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",1446.0,2025-02-08
aya-expanse-32b,42.15,41.76,43.16,"(-0.39, +1.01)",2096.0,2025-02-08
gemma-2-27b-it,31.93,30.76,33.04,"(-1.17, +1.11)",1362.0,2025-02-08
aya-expanse-8b,26.49,25.82,27.27,"(-0.67, +0.78)",2145.0,2025-02-08
command-rplus,24.7,24.06,25.4,"(-0.64, +0.70)",1885.0,2025-02-08
krikri-annealing-dpo-mixed-run1,21.69,20.99,22.8,"(-0.70, +1.11)",2218.0,2025-02-08
llama-3.1-70b,21.26,20.27,22.32,"(-0.99, +1.06)",1387.0,2025-02-08
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.69,18.89,"(-0.92, +1.28)",1738.0,2025-02-08
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,16.06,17.99,"(-0.78, +1.15)",1646.0,2025-02-08
krikri-annealing-sft-mixed-run1,14.85,13.94,15.62,"(-0.91, +0.77)",2401.0,2025-02-08
krikri-annealing-sft-stage2-run4,14.05,13.25,14.61,"(-0.80, +0.56)",1373.0,2025-02-08
command-r,8.81,8.36,9.54,"(-0.45, +0.73)",1486.0,2025-02-08
mixtral-8x7b-instruct-v0.1,4.5,4.04,4.96,"(-0.46, +0.46)",914.0,2025-02-08
llama-3.1-8b,4.0,3.4,4.51,"(-0.60, +0.51)",2217.0,2025-02-08
mistral-7b-instruct-v0.2,2.01,1.76,2.38,"(-0.25, +0.37)",689.0,2025-02-08
meltemi-instruct-7b-v1.5-orpo,1.42,1.2,1.67,"(-0.22, +0.25)",1431.0,2025-02-08
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-02-08
