model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.92,91.76,94.17,"(-1.16, +1.25)",992.0,2025-07-20
qwen-3-235b-a22b-fp8,88.57,87.5,90.44,"(-1.07, +1.87)",1036.0,2025-07-20
gemma-3-27b-it,86.98,85.16,88.61,"(-1.82, +1.63)",1614.0,2025-07-20
qwen-3-32b,84.89,83.12,86.57,"(-1.77, +1.68)",1104.0,2025-07-20
deepseek-reasoner,82.21,79.98,83.97,"(-2.23, +1.76)",874.0,2025-07-20
deepseek-chat,81.66,79.33,83.73,"(-2.33, +2.07)",1009.0,2025-07-20
mistral-small-3.2-24b-instruct-2506,79.8,77.73,81.5,"(-2.07, +1.70)",1096.0,2025-07-20
qwen3-32b-merge-linear_60-original_40-greek-think,79.4,77.42,81.27,"(-1.98, +1.87)",991.0,2025-07-20
gemma-3-12b-it,77.79,76.14,79.07,"(-1.65, +1.28)",1703.0,2025-07-20
qwen-3-30b-a3b,76.32,74.66,78.32,"(-1.66, +2.00)",1091.0,2025-07-20
qwen3-32b-merge-linear_50-original_50-greek-think,74.93,72.92,77.13,"(-2.01, +2.20)",878.0,2025-07-20
qwen-3-14b,73.52,71.42,75.32,"(-2.10, +1.80)",1092.0,2025-07-20
qwen-3-sft-epoch-1,71.27,69.09,73.62,"(-2.18, +2.35)",726.0,2025-07-20
qwen3-32b-merge-linear_40-original_60-greek-think,71.27,69.26,73.7,"(-2.01, +2.43)",832.0,2025-07-20
qwen3-greek-thinking-dpo,70.96,68.68,73.24,"(-2.28, +2.28)",715.0,2025-07-20
gpt-4o,61.87,59.69,63.28,"(-2.18, +1.41)",659.0,2025-07-20
krikri-merge-linear-50-latest_50-teachers-gemma-r1-dpo,56.3,53.79,58.82,"(-2.51, +2.52)",929.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-384,55.84,53.35,58.39,"(-2.49, +2.55)",937.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-240,55.09,52.97,57.53,"(-2.12, +2.44)",930.0,2025-07-20
Llama-4-Scout-17B-16E-Instruct,54.81,52.11,57.49,"(-2.70, +2.68)",894.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-432,54.61,51.84,57.21,"(-2.77, +2.60)",937.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-472,54.01,50.95,57.3,"(-3.06, +3.29)",931.0,2025-07-20
krikri-merge-linear-40-latest_60-teachers-gemma-r1-dpo,53.41,51.32,55.83,"(-2.09, +2.42)",929.0,2025-07-20
krikri-merge-linear-60-latest_40-teachers-gemma-r1-dpo,52.92,51.06,55.15,"(-1.86, +2.23)",945.0,2025-07-20
mistral-small-3.1-24b-instruct-2503,51.29,48.66,53.94,"(-2.63, +2.65)",914.0,2025-07-20
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,51.22,48.94,53.38,"(-2.28, +2.16)",938.0,2025-07-20
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-20
krikri-neo1-sft-teachers-gemma-r1-dpo,48.03,45.8,50.13,"(-2.23, +2.10)",971.0,2025-07-20
aya-expanse-32b,45.78,42.83,47.86,"(-2.95, +2.08)",943.0,2025-07-20
gemma-3-4b-it,45.26,43.22,47.38,"(-2.04, +2.12)",1538.0,2025-07-20
krikri-neo1-sft-teachers-all-dpo,44.45,42.16,47.05,"(-2.29, +2.60)",895.0,2025-07-20
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,44.35,41.99,47.03,"(-2.36, +2.68)",0.0,2025-07-20
krikri-neo1-sft-teachers-all,42.86,40.58,45.12,"(-2.28, +2.26)",887.0,2025-07-20
krikri-neo1-sft-teachers-gemma-r1,42.45,40.33,44.61,"(-2.12, +2.16)",927.0,2025-07-20
krikri-neo1-sft-think_en_el_mix-epoch-1.5,40.94,39.01,43.87,"(-1.93, +2.93)",941.0,2025-07-20
krikri-neo1-sft-teachers-r1,37.17,34.6,39.22,"(-2.57, +2.05)",715.0,2025-07-20
krikri-neo1-sft-teachers-r1-dpo,36.71,34.57,38.82,"(-2.14, +2.11)",724.0,2025-07-20
gemma-2-27b-it,33.25,30.85,35.72,"(-2.40, +2.47)",675.0,2025-07-20
command-rplus,31.2,28.74,33.28,"(-2.46, +2.08)",846.0,2025-07-20
aya-expanse-8b,25.57,23.87,27.72,"(-1.70, +2.15)",954.0,2025-07-20
llama-3.1-70b,23.51,21.48,25.43,"(-2.03, +1.92)",693.0,2025-07-20
krikri-neo1-sft-all,17.76,16.03,19.91,"(-1.73, +2.15)",993.0,2025-07-20
llama-3.1-8b,3.59,2.96,4.33,"(-0.63, +0.74)",1079.0,2025-07-20
qwen-3-1.7b,2.49,1.85,2.96,"(-0.64, +0.47)",1645.0,2025-07-20
meltemi-instruct-7b-v1.5-orpo,2.12,1.47,2.89,"(-0.65, +0.77)",715.0,2025-07-20
