model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,84.13,82.09,85.57,"(-2.04, +1.44)",874.0,2025-03-17
gemma-3-27b-it,72.4,70.21,75.39,"(-2.19, +2.99)",1614.0,2025-03-17
deepseek-chat,70.98,68.87,73.15,"(-2.11, +2.17)",1009.0,2025-03-17
claude-3.5-sonnet-v2,64.82,62.49,67.02,"(-2.33, +2.20)",636.0,2025-03-17
gemma-3-12b-it,59.91,57.34,62.77,"(-2.57, +2.86)",1703.0,2025-03-17
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,48.28,44.67,50.96,"(-3.61, +2.68)",966.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,47.65,44.42,50.18,"(-3.23, +2.53)",933.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,47.43,44.61,50.32,"(-2.82, +2.89)",938.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,45.06,42.48,47.64,"(-2.58, +2.58)",942.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,44.28,41.71,46.93,"(-2.57, +2.65)",958.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,41.81,39.14,44.79,"(-2.67, +2.98)",739.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,40.81,38.5,43.67,"(-2.31, +2.86)",901.0,2025-03-17
aya-expanse-32b,40.44,37.63,42.82,"(-2.81, +2.38)",943.0,2025-03-17
base_neo_arcee_fusion_round-2_base,39.99,37.66,42.46,"(-2.33, +2.47)",868.0,2025-03-17
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,37.45,34.87,40.46,"(-2.58, +3.01)",692.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,36.25,34.38,39.43,"(-1.87, +3.18)",756.0,2025-03-17
gemma-3-4b-it,35.38,32.7,37.55,"(-2.68, +2.17)",1538.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,34.32,31.94,37.07,"(-2.38, +2.75)",788.0,2025-03-17
gemma-2-27b-it,32.24,29.88,35.08,"(-2.36, +2.84)",675.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,31.6,29.27,33.76,"(-2.33, +2.16)",0.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,30.66,28.58,33.13,"(-2.08, +2.47)",712.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,30.27,27.98,32.26,"(-2.29, +1.99)",0.0,2025-03-17
command-rplus,29.04,26.89,31.21,"(-2.15, +2.17)",846.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,27.64,25.38,29.78,"(-2.26, +2.14)",707.0,2025-03-17
llama-3.1-70b,27.4,24.65,29.69,"(-2.75, +2.29)",693.0,2025-03-17
aya-expanse-8b,23.85,22.25,25.83,"(-1.60, +1.98)",954.0,2025-03-17
krikri-annealing-dpo-mixed-run1,17.1,15.3,18.91,"(-1.80, +1.81)",1487.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-run4,15.59,13.93,17.43,"(-1.66, +1.84)",953.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,15.45,13.76,17.22,"(-1.69, +1.77)",899.0,2025-03-17
krikri-annealing-sft-stage2-run4,14.08,12.59,16.08,"(-1.49, +2.00)",753.0,2025-03-17
command-r,13.05,10.91,14.66,"(-2.14, +1.61)",659.0,2025-03-17
krikri-annealing-sft-mixed-run1,12.22,10.71,13.78,"(-1.51, +1.56)",1182.0,2025-03-17
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,11.17,9.62,13.28,"(-1.55, +2.11)",471.0,2025-03-17
mixtral-8x7b-instruct-v0.1,6.58,5.47,8.1,"(-1.11, +1.52)",540.0,2025-03-17
llama-3.1-8b,4.0,3.28,4.74,"(-0.72, +0.74)",1079.0,2025-03-17
mistral-7b-instruct-v0.2,2.78,2.17,3.53,"(-0.61, +0.75)",548.0,2025-03-17
meltemi-instruct-7b-v1.5-orpo,2.37,1.58,3.11,"(-0.79, +0.74)",715.0,2025-03-17
