model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,93.14,95.27,"(-1.03, +1.10)",992.0,2025-06-20
qwen-3-235b-a22b-fp8,90.3,89.07,91.44,"(-1.23, +1.14)",1036.0,2025-06-20
gemma-3-27b-it,90.18,88.97,91.12,"(-1.21, +0.94)",1614.0,2025-06-20
qwen-3-32b,87.77,86.35,88.79,"(-1.42, +1.02)",1104.0,2025-06-20
deepseek-chat,83.59,81.43,85.31,"(-2.16, +1.72)",1009.0,2025-06-20
gemma-3-12b-it,83.29,81.93,84.92,"(-1.36, +1.63)",1703.0,2025-06-20
deepseek-reasoner,82.67,81.14,84.45,"(-1.53, +1.78)",874.0,2025-06-20
qwen-3-30b-a3b,80.45,78.85,82.33,"(-1.60, +1.88)",1091.0,2025-06-20
qwen-3-14b,77.83,76.28,79.69,"(-1.55, +1.86)",1092.0,2025-06-20
qwen-3-sft-epoch-1,67.34,65.18,69.7,"(-2.16, +2.36)",726.0,2025-06-20
gpt-4o,53.58,51.94,55.47,"(-1.64, +1.89)",659.0,2025-06-20
gemma-3-4b-it,53.23,51.04,54.75,"(-2.19, +1.52)",1538.0,2025-06-20
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.35,54.93,"(-2.35, +2.23)",938.0,2025-06-20
Llama-4-Scout-17B-16E-Instruct,52.31,50.15,54.48,"(-2.16, +2.17)",894.0,2025-06-20
mistral-small-3.1-24b-instruct-2503,50.38,47.18,52.51,"(-3.20, +2.13)",914.0,2025-06-20
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-06-20
aya-expanse-32b,45.14,43.08,47.48,"(-2.06, +2.34)",943.0,2025-06-20
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.42,45.84,"(-2.23, +2.19)",0.0,2025-06-20
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,38.5,36.36,40.66,"(-2.14, +2.16)",692.0,2025-06-20
krikri-neo-lora-sft-stage-1,36.55,34.47,38.57,"(-2.08, +2.02)",1340.0,2025-06-20
krikri-8b-instruct-temp0_35,36.42,34.28,38.98,"(-2.14, +2.56)",712.0,2025-06-20
krikri-8b-instruct-with-thinking-temp0_35,33.58,31.26,35.61,"(-2.32, +2.03)",634.0,2025-06-20
gemma-2-27b-it,28.69,26.47,30.82,"(-2.22, +2.13)",675.0,2025-06-20
aya-expanse-8b,25.84,24.08,28.11,"(-1.76, +2.27)",954.0,2025-06-20
command-rplus,25.74,23.81,28.28,"(-1.93, +2.54)",846.0,2025-06-20
llama-3.1-70b,16.85,15.2,18.45,"(-1.65, +1.60)",693.0,2025-06-20
krikri-neo1-sft-all,16.45,15.05,18.36,"(-1.40, +1.91)",1736.0,2025-06-20
qwen-3-1.7b,3.65,2.99,4.48,"(-0.66, +0.83)",1645.0,2025-06-20
llama-3.1-8b,3.28,2.69,3.79,"(-0.59, +0.51)",1079.0,2025-06-20
meltemi-instruct-7b-v1.5-orpo,1.26,0.89,1.65,"(-0.37, +0.39)",715.0,2025-06-20
