model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.67,91.55,93.98,"(-1.12, +1.31)",992.0,2025-06-03
qwen-3-235b-a22b-fp8,88.4,86.99,89.84,"(-1.41, +1.44)",1036.0,2025-06-03
gemma-3-27b-it,85.7,83.97,87.14,"(-1.73, +1.44)",1614.0,2025-06-03
qwen-3-32b,84.41,82.7,85.64,"(-1.71, +1.23)",1104.0,2025-06-03
deepseek-reasoner,81.93,80.31,83.83,"(-1.62, +1.90)",874.0,2025-06-03
deepseek-chat,81.15,79.19,82.8,"(-1.96, +1.65)",1009.0,2025-06-03
gemma-3-12b-it,75.86,73.49,78.17,"(-2.37, +2.31)",1703.0,2025-06-03
qwen-3-30b-a3b,75.58,73.84,77.22,"(-1.74, +1.64)",1091.0,2025-06-03
qwen-3-14b,72.71,70.24,75.07,"(-2.47, +2.36)",1092.0,2025-06-03
qwen-3-sft-epoch-1,71.21,69.26,73.35,"(-1.95, +2.14)",726.0,2025-06-03
gpt-4o,62.44,60.77,64.09,"(-1.67, +1.65)",659.0,2025-06-03
Llama-4-Scout-17B-16E-Instruct,54.57,52.17,56.9,"(-2.40, +2.33)",894.0,2025-06-03
mistral-small-3.1-24b-instruct-2503,50.94,47.89,53.22,"(-3.05, +2.28)",914.0,2025-06-03
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,50.02,47.95,52.27,"(-2.07, +2.25)",938.0,2025-06-03
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-06-03
aya-expanse-32b,45.21,43.09,47.57,"(-2.12, +2.36)",943.0,2025-06-03
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,44.26,41.94,46.49,"(-2.32, +2.23)",0.0,2025-06-03
gemma-3-4b-it,42.63,40.45,45.26,"(-2.18, +2.63)",1538.0,2025-06-03
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,42.45,39.6,44.78,"(-2.85, +2.33)",692.0,2025-06-03
krikri-8b-instruct-temp0_35,39.37,36.62,42.11,"(-2.75, +2.74)",712.0,2025-06-03
krikri-8b-instruct-with-thinking-temp0_35,38.88,36.1,41.6,"(-2.78, +2.72)",634.0,2025-06-03
gemma-2-27b-it,33.12,30.7,35.26,"(-2.42, +2.14)",675.0,2025-06-03
command-rplus,31.45,28.87,33.46,"(-2.58, +2.01)",846.0,2025-06-03
krikri-neo-lora-sft-stage-1,29.39,27.54,31.81,"(-1.85, +2.42)",1340.0,2025-06-03
aya-expanse-8b,24.88,22.71,26.97,"(-2.17, +2.09)",954.0,2025-06-03
llama-3.1-70b,23.94,21.99,26.33,"(-1.95, +2.39)",693.0,2025-06-03
llama-3.1-8b,3.48,2.86,4.13,"(-0.62, +0.65)",1079.0,2025-06-03
qwen-3-1.7b,2.3,1.88,2.9,"(-0.42, +0.60)",1645.0,2025-06-03
meltemi-instruct-7b-v1.5-orpo,2.16,1.56,2.87,"(-0.60, +0.71)",715.0,2025-06-03
