model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.57,91.22,93.99,"(-1.35, +1.42)",992.0,2025-07-04
qwen-3-235b-a22b-fp8,88.34,86.8,89.69,"(-1.54, +1.35)",1036.0,2025-07-04
gemma-3-27b-it,86.01,84.15,87.29,"(-1.86, +1.28)",1614.0,2025-07-04
qwen-3-32b,84.38,82.74,85.56,"(-1.64, +1.18)",1104.0,2025-07-04
deepseek-reasoner,81.63,80.02,83.59,"(-1.61, +1.96)",874.0,2025-07-04
deepseek-chat,81.23,78.74,83.08,"(-2.49, +1.85)",1009.0,2025-07-04
gemma-3-12b-it,76.14,73.84,78.39,"(-2.30, +2.25)",1703.0,2025-07-04
qwen-3-30b-a3b,75.59,73.31,77.53,"(-2.28, +1.94)",1091.0,2025-07-04
qwen-3-14b,72.69,71.09,74.89,"(-1.60, +2.20)",1092.0,2025-07-04
qwen-3-sft-epoch-1,70.73,68.7,72.84,"(-2.03, +2.11)",726.0,2025-07-04
gpt-4o,62.03,60.34,64.34,"(-1.69, +2.31)",659.0,2025-07-04
Llama-4-Scout-17B-16E-Instruct,54.87,52.41,57.27,"(-2.46, +2.40)",894.0,2025-07-04
mistral-small-3.1-24b-instruct-2503,50.83,47.75,53.06,"(-3.08, +2.23)",914.0,2025-07-04
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-04
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,49.72,47.22,51.87,"(-2.50, +2.15)",938.0,2025-07-04
aya-expanse-32b,45.2,43.22,47.32,"(-1.98, +2.12)",943.0,2025-07-04
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.48,41.11,45.69,"(-2.37, +2.21)",0.0,2025-07-04
gemma-3-4b-it,42.89,40.42,44.71,"(-2.47, +1.82)",1538.0,2025-07-04
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,41.43,39.04,43.74,"(-2.39, +2.31)",692.0,2025-07-04
krikri-8b-instruct-temp0_35,38.39,35.94,41.21,"(-2.45, +2.82)",712.0,2025-07-04
krikri-8b-instruct-with-thinking-temp0_35,37.68,35.22,40.29,"(-2.46, +2.61)",634.0,2025-07-04
gemma-2-27b-it,32.46,29.99,34.67,"(-2.47, +2.21)",675.0,2025-07-04
command-rplus,31.6,29.49,34.36,"(-2.11, +2.76)",846.0,2025-07-04
krikri-neo-lora-sft-stage-1,29.54,27.67,31.57,"(-1.87, +2.03)",1340.0,2025-07-04
aya-expanse-8b,24.88,23.14,27.09,"(-1.74, +2.21)",954.0,2025-07-04
llama-3.1-70b,23.79,21.41,25.78,"(-2.38, +1.99)",693.0,2025-07-04
krikri-neo1-sft-all,17.57,16.07,19.81,"(-1.50, +2.24)",993.0,2025-07-04
llama-3.1-8b,3.49,2.79,4.08,"(-0.70, +0.59)",1079.0,2025-07-04
qwen-3-1.7b,2.4,1.93,3.05,"(-0.47, +0.65)",1645.0,2025-07-04
meltemi-instruct-7b-v1.5-orpo,2.25,1.62,2.94,"(-0.63, +0.69)",715.0,2025-07-04
