model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,57.76,54.73,60.23,"(-3.03, +2.47)",636.0,2025-02-17
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,40.58,37.93,43.31,"(-2.65, +2.73)",938.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,37.55,35.52,39.83,"(-2.03, +2.28)",958.0,2025-02-17
aya-expanse-32b,33.65,31.19,35.8,"(-2.46, +2.15)",943.0,2025-02-17
gemma-2-27b-it,26.66,24.04,28.93,"(-2.62, +2.27)",675.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,25.68,23.33,27.84,"(-2.35, +2.16)",0.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,24.5,22.34,26.82,"(-2.16, +2.32)",0.0,2025-02-17
command-rplus,23.42,20.91,25.83,"(-2.51, +2.41)",846.0,2025-02-17
llama-3.1-70b,22.28,19.99,24.38,"(-2.29, +2.10)",693.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,22.08,20.2,24.62,"(-1.88, +2.54)",707.0,2025-02-17
aya-expanse-8b,18.95,17.56,20.51,"(-1.39, +1.56)",954.0,2025-02-17
krikri-annealing-dpo-mixed-run1,13.49,11.67,15.02,"(-1.82, +1.53)",1487.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-run4,11.88,10.57,13.26,"(-1.31, +1.38)",953.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,11.78,10.47,13.52,"(-1.31, +1.74)",899.0,2025-02-17
krikri-annealing-sft-stage2-run4,10.74,9.33,12.35,"(-1.41, +1.61)",753.0,2025-02-17
command-r,10.14,8.76,11.5,"(-1.38, +1.36)",659.0,2025-02-17
krikri-annealing-sft-mixed-run1,9.45,8.41,10.55,"(-1.04, +1.10)",1182.0,2025-02-17
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,8.56,7.49,9.9,"(-1.07, +1.34)",471.0,2025-02-17
mixtral-8x7b-instruct-v0.1,5.03,4.26,6.04,"(-0.77, +1.01)",540.0,2025-02-17
llama-3.1-8b,3.02,2.35,3.69,"(-0.67, +0.67)",1079.0,2025-02-17
mistral-7b-instruct-v0.2,2.2,1.67,2.82,"(-0.53, +0.62)",548.0,2025-02-17
meltemi-instruct-7b-v1.5-orpo,1.68,1.3,2.27,"(-0.38, +0.59)",715.0,2025-02-17
gemma2-9b-it,0.08,0.07,0.1,"(-0.01, +0.02)",3.0,2025-02-17
