model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,62.99,66.0,"(-2.11, +0.90)",636.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,52.5,55.85,"(-1.36, +1.99)",1731.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,51.88,55.54,"(-1.54, +2.12)",938.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,48.82,51.41,"(-1.26, +1.33)",958.0,2025-03-05
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,44.87,49.22,"(-2.55, +1.80)",1690.0,2025-03-05
aya-expanse-32b,42.15,40.01,43.67,"(-2.14, +1.52)",943.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,39.23,41.7,"(-1.64, +0.83)",1431.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,36.99,40.77,"(-1.73, +2.05)",1475.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,35.69,38.11,"(-0.71, +1.71)",0.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.21,36.74,"(-1.34, +2.19)",0.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,33.25,36.09,"(-1.08, +1.76)",1356.0,2025-03-05
gemma-2-27b-it,31.93,30.21,33.71,"(-1.72, +1.78)",675.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,29.58,32.51,"(-1.27, +1.66)",707.0,2025-03-05
aya-expanse-8b,26.49,25.56,27.54,"(-0.93, +1.05)",954.0,2025-03-05
command-rplus,24.7,23.14,25.89,"(-1.56, +1.19)",846.0,2025-03-05
krikri-annealing-dpo-mixed-run1,21.69,20.51,22.36,"(-1.18, +0.67)",1487.0,2025-03-05
llama-3.1-70b,21.26,20.15,22.57,"(-1.11, +1.31)",693.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.48,18.79,"(-1.13, +1.18)",953.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.82,17.72,"(-1.02, +0.88)",899.0,2025-03-05
krikri-annealing-sft-mixed-run1,14.85,13.54,16.14,"(-1.31, +1.29)",1182.0,2025-03-05
krikri-annealing-sft-stage2-run4,14.05,13.06,15.1,"(-0.99, +1.05)",753.0,2025-03-05
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.77,11.48,"(-0.77, +0.94)",471.0,2025-03-05
command-r,8.81,7.79,9.73,"(-1.02, +0.92)",659.0,2025-03-05
mixtral-8x7b-instruct-v0.1,4.5,3.72,5.05,"(-0.78, +0.55)",540.0,2025-03-05
llama-3.1-8b,4.0,3.35,4.74,"(-0.65, +0.74)",1079.0,2025-03-05
mistral-7b-instruct-v0.2,2.01,1.55,2.58,"(-0.46, +0.57)",548.0,2025-03-05
meltemi-instruct-7b-v1.5-orpo,1.42,1.1,1.78,"(-0.32, +0.36)",715.0,2025-03-05
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-03-05
