model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,92.92,95.24,"(-1.25, +1.07)",992.0,2025-05-21
qwen-3-235b-a22b-fp8,90.3,88.78,91.55,"(-1.52, +1.25)",1904.0,2025-05-21
gemma-3-27b-it,90.18,88.96,91.17,"(-1.22, +0.99)",1614.0,2025-05-21
qwen-3-32b,87.77,86.34,88.82,"(-1.43, +1.05)",1104.0,2025-05-21
deepseek-chat,83.59,81.87,85.3,"(-1.72, +1.71)",1009.0,2025-05-21
gemma-3-12b-it,83.29,81.93,84.91,"(-1.36, +1.62)",1703.0,2025-05-21
deepseek-reasoner,82.67,81.14,84.5,"(-1.53, +1.83)",874.0,2025-05-21
qwen-3-30b-a3b,80.45,79.01,82.42,"(-1.44, +1.97)",1091.0,2025-05-21
qwen-3-14b,77.83,76.14,79.71,"(-1.69, +1.88)",1092.0,2025-05-21
gpt-4o,53.58,51.96,55.4,"(-1.62, +1.82)",659.0,2025-05-21
gemma-3-4b-it,53.23,51.11,55.11,"(-2.12, +1.88)",1538.0,2025-05-21
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.54,55.14,"(-2.16, +2.44)",938.0,2025-05-21
Llama-4-Scout-17B-16E-Instruct,52.31,49.18,54.71,"(-3.13, +2.40)",894.0,2025-05-21
mistral-small-3.1-24b-instruct-2503,50.38,47.2,52.46,"(-3.18, +2.08)",914.0,2025-05-21
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-05-21
aya-expanse-32b,45.14,43.09,47.53,"(-2.05, +2.39)",943.0,2025-05-21
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.42,45.84,"(-2.23, +2.19)",0.0,2025-05-21
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,38.5,36.28,40.57,"(-2.22, +2.07)",692.0,2025-05-21
krikri-8b-instruct-temp0_35,36.42,34.34,38.81,"(-2.08, +2.39)",712.0,2025-05-21
krikri-8b-instruct-with-thinking-temp0_35,33.58,31.24,35.63,"(-2.34, +2.05)",634.0,2025-05-21
gemma-2-27b-it,28.69,26.62,31.15,"(-2.07, +2.46)",675.0,2025-05-21
aya-expanse-8b,25.84,23.91,27.74,"(-1.93, +1.90)",954.0,2025-05-21
command-rplus,25.74,23.77,28.02,"(-1.97, +2.28)",846.0,2025-05-21
llama-3.1-70b,16.85,15.15,18.57,"(-1.70, +1.72)",693.0,2025-05-21
qwen-3-1.7b,3.65,3.0,4.48,"(-0.65, +0.83)",1645.0,2025-05-21
llama-3.1-8b,3.28,2.72,3.98,"(-0.56, +0.70)",1079.0,2025-05-21
meltemi-instruct-7b-v1.5-orpo,1.26,0.88,1.64,"(-0.38, +0.38)",715.0,2025-05-21
