model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,93.22,95.22,"(-0.95, +1.05)",992.0,2025-07-20
qwen-3-235b-a22b-fp8,90.3,89.14,91.78,"(-1.16, +1.48)",1036.0,2025-07-20
gemma-3-27b-it,90.18,88.98,91.58,"(-1.20, +1.40)",1614.0,2025-07-20
qwen-3-32b,87.77,86.28,89.33,"(-1.49, +1.56)",1104.0,2025-07-20
mistral-small-3.2-24b-instruct-2506,83.62,82.01,85.06,"(-1.61, +1.44)",1976.0,2025-07-20
deepseek-chat,83.59,81.44,85.37,"(-2.15, +1.78)",1009.0,2025-07-20
gemma-3-12b-it,83.29,82.06,84.45,"(-1.23, +1.16)",1703.0,2025-07-20
deepseek-reasoner,82.67,80.61,84.36,"(-2.06, +1.69)",874.0,2025-07-20
qwen3-32b-merge-linear_60-original_40-greek-think,80.84,78.93,82.75,"(-1.91, +1.91)",1867.0,2025-07-20
qwen-3-30b-a3b,80.45,79.01,82.16,"(-1.44, +1.71)",1091.0,2025-07-20
qwen-3-14b,77.83,75.84,79.33,"(-1.99, +1.50)",1092.0,2025-07-20
qwen3-32b-merge-linear_50-original_50-greek-think,74.68,72.46,76.93,"(-2.22, +2.25)",1665.0,2025-07-20
qwen3-32b-merge-linear_40-original_60-greek-think,69.83,67.86,72.56,"(-1.97, +2.73)",1573.0,2025-07-20
qwen-3-sft-epoch-1,67.34,64.72,70.03,"(-2.62, +2.69)",726.0,2025-07-20
qwen3-greek-thinking-dpo,66.89,64.45,69.39,"(-2.44, +2.50)",715.0,2025-07-20
krikri-merge-linear-50-latest_50-teachers-gemma-r1-dpo,57.37,54.98,59.62,"(-2.39, +2.25)",929.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-384,56.98,54.52,59.28,"(-2.46, +2.30)",1721.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-240,56.21,54.09,58.4,"(-2.12, +2.19)",1716.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-432,55.88,53.24,58.33,"(-2.64, +2.45)",1723.0,2025-07-20
krikri-v1.5-self-dpo-checkpoint-472,55.34,52.43,58.48,"(-2.91, +3.14)",1721.0,2025-07-20
krikri-merge-linear-40-latest_60-teachers-gemma-r1-dpo,54.71,52.46,56.99,"(-2.25, +2.28)",929.0,2025-07-20
krikri-merge-linear-60-latest_40-teachers-gemma-r1-dpo,54.38,52.36,56.82,"(-2.02, +2.44)",945.0,2025-07-20
gpt-4o,53.58,51.33,55.03,"(-2.25, +1.45)",659.0,2025-07-20
gemma-3-4b-it,53.23,51.23,55.16,"(-2.00, +1.93)",1538.0,2025-07-20
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.19,54.76,"(-2.51, +2.06)",938.0,2025-07-20
Llama-4-Scout-17B-16E-Instruct,52.31,49.52,55.05,"(-2.79, +2.74)",894.0,2025-07-20
mistral-small-3.1-24b-instruct-2503,50.38,47.61,52.66,"(-2.77, +2.28)",914.0,2025-07-20
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-20
krikri-neo1-sft-teachers-gemma-r1-dpo,49.65,47.31,51.66,"(-2.34, +2.01)",971.0,2025-07-20
krikri-neo1-sft-teachers-all-dpo,45.21,42.5,47.94,"(-2.71, +2.73)",895.0,2025-07-20
aya-expanse-32b,45.14,42.11,47.34,"(-3.03, +2.20)",943.0,2025-07-20
krikri-neo1-sft-think_en_el_mix-epoch-1.5,44.49,42.49,47.27,"(-2.00, +2.78)",1610.0,2025-07-20
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.26,46.24,"(-2.39, +2.59)",0.0,2025-07-20
krikri-neo1-sft-teachers-all,42.85,40.5,44.9,"(-2.35, +2.05)",887.0,2025-07-20
krikri-neo1-sft-teachers-gemma-r1,42.46,40.47,44.7,"(-1.99, +2.24)",927.0,2025-07-20
krikri-neo1-sft-teachers-r1,33.71,31.24,35.59,"(-2.47, +1.88)",715.0,2025-07-20
krikri-neo1-sft-teachers-r1-dpo,33.42,31.69,35.36,"(-1.73, +1.94)",724.0,2025-07-20
gemma-2-27b-it,28.69,26.48,30.8,"(-2.21, +2.11)",675.0,2025-07-20
aya-expanse-8b,25.84,24.16,27.73,"(-1.68, +1.89)",954.0,2025-07-20
command-rplus,25.74,23.5,27.4,"(-2.24, +1.66)",846.0,2025-07-20
llama-3.1-70b,16.85,15.28,18.3,"(-1.57, +1.45)",693.0,2025-07-20
krikri-neo1-sft-all,16.45,14.99,18.26,"(-1.46, +1.81)",993.0,2025-07-20
qwen-3-1.7b,3.65,2.72,4.31,"(-0.93, +0.66)",1645.0,2025-07-20
llama-3.1-8b,3.28,2.75,3.94,"(-0.53, +0.66)",1079.0,2025-07-20
meltemi-instruct-7b-v1.5-orpo,1.26,0.88,1.69,"(-0.38, +0.43)",715.0,2025-07-20
