model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,93.02,95.22,"(-1.15, +1.05)",992.0,2025-07-05
qwen-3-235b-a22b-fp8,90.3,88.76,91.34,"(-1.54, +1.04)",1036.0,2025-07-05
gemma-3-27b-it,90.18,88.83,91.28,"(-1.35, +1.10)",1614.0,2025-07-05
qwen-3-32b,87.77,86.55,89.44,"(-1.22, +1.67)",1104.0,2025-07-05
deepseek-chat,83.59,81.83,85.14,"(-1.76, +1.55)",1009.0,2025-07-05
gemma-3-12b-it,83.29,81.59,84.86,"(-1.70, +1.57)",1703.0,2025-07-05
deepseek-reasoner,82.67,81.1,84.31,"(-1.57, +1.64)",874.0,2025-07-05
qwen-3-30b-a3b,80.45,78.86,82.17,"(-1.59, +1.72)",1091.0,2025-07-05
qwen-3-14b,77.83,76.02,79.6,"(-1.81, +1.77)",1092.0,2025-07-05
qwen-3-sft-epoch-1,67.34,65.12,69.54,"(-2.22, +2.20)",726.0,2025-07-05
qwen3-greek-thinking-dpo,66.89,64.59,68.71,"(-2.30, +1.82)",1291.0,2025-07-05
gpt-4o,53.58,51.6,55.24,"(-1.98, +1.66)",659.0,2025-07-05
gemma-3-4b-it,53.23,50.82,55.42,"(-2.41, +2.19)",1538.0,2025-07-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.56,55.19,"(-2.14, +2.49)",938.0,2025-07-05
Llama-4-Scout-17B-16E-Instruct,52.31,49.31,55.29,"(-3.00, +2.98)",894.0,2025-07-05
mistral-small-3.1-24b-instruct-2503,50.38,47.79,53.15,"(-2.59, +2.77)",914.0,2025-07-05
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-07-05
krikri-neo1-sft-teachers-gemma-r1-dpo,49.65,47.35,52.02,"(-2.30, +2.37)",1786.0,2025-07-05
krikri-neo1-sft-teachers-all-dpo,45.21,42.67,47.5,"(-2.54, +2.29)",1676.0,2025-07-05
aya-expanse-32b,45.14,42.14,47.62,"(-3.00, +2.48)",943.0,2025-07-05
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.48,46.19,"(-2.17, +2.54)",0.0,2025-07-05
krikri-neo1-sft-teachers-all,42.85,40.63,44.9,"(-2.22, +2.05)",1669.0,2025-07-05
krikri-neo1-sft-teachers-gemma-r1,42.46,40.32,44.76,"(-2.14, +2.30)",1753.0,2025-07-05
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,38.5,36.25,41.13,"(-2.25, +2.63)",692.0,2025-07-05
krikri-neo-lora-sft-stage-1,36.55,34.61,38.91,"(-1.94, +2.36)",1340.0,2025-07-05
krikri-8b-instruct-temp0_35,36.42,34.06,38.79,"(-2.36, +2.37)",712.0,2025-07-05
krikri-neo1-sft-teachers-r1,33.71,31.53,35.73,"(-2.18, +2.02)",1252.0,2025-07-05
krikri-8b-instruct-with-thinking-temp0_35,33.58,31.83,36.04,"(-1.75, +2.46)",634.0,2025-07-05
krikri-neo1-sft-teachers-r1-dpo,33.42,30.67,35.51,"(-2.75, +2.09)",1267.0,2025-07-05
gemma-2-27b-it,28.69,26.27,31.09,"(-2.42, +2.40)",675.0,2025-07-05
aya-expanse-8b,25.84,24.05,28.52,"(-1.79, +2.68)",954.0,2025-07-05
command-rplus,25.74,23.59,27.74,"(-2.15, +2.00)",846.0,2025-07-05
llama-3.1-70b,16.85,14.83,18.33,"(-2.02, +1.48)",693.0,2025-07-05
krikri-neo1-sft-all,16.45,15.0,17.93,"(-1.45, +1.48)",993.0,2025-07-05
qwen-3-1.7b,3.65,3.0,4.29,"(-0.65, +0.64)",1645.0,2025-07-05
llama-3.1-8b,3.28,2.66,4.18,"(-0.62, +0.90)",1079.0,2025-07-05
meltemi-instruct-7b-v1.5-orpo,1.26,0.9,1.66,"(-0.36, +0.40)",715.0,2025-07-05
