model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,92.74,91.2,93.56,"(-1.54, +0.82)",992.0,2025-05-31
qwen-3-235b-a22b-fp8,88.48,86.74,89.92,"(-1.74, +1.44)",1036.0,2025-05-31
gemma-3-27b-it,85.79,84.25,87.17,"(-1.54, +1.38)",1614.0,2025-05-31
qwen-3-32b,84.53,82.65,85.89,"(-1.88, +1.36)",1104.0,2025-05-31
deepseek-reasoner,82.03,80.45,83.93,"(-1.58, +1.90)",874.0,2025-05-31
deepseek-chat,81.23,79.03,82.94,"(-2.20, +1.71)",1009.0,2025-05-31
gemma-3-12b-it,75.98,74.04,78.34,"(-1.94, +2.36)",1703.0,2025-05-31
qwen-3-30b-a3b,75.72,73.81,78.0,"(-1.91, +2.28)",1091.0,2025-05-31
qwen-3-14b,72.87,70.4,75.18,"(-2.47, +2.31)",1092.0,2025-05-31
gpt-4o,62.51,60.68,64.07,"(-1.83, +1.56)",659.0,2025-05-31
Llama-4-Scout-17B-16E-Instruct,54.55,51.94,57.03,"(-2.61, +2.48)",894.0,2025-05-31
mistral-small-3.1-24b-instruct-2503,51.02,47.96,53.26,"(-3.06, +2.24)",914.0,2025-05-31
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,50.2,47.4,53.15,"(-2.80, +2.95)",938.0,2025-05-31
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-05-31
aya-expanse-32b,45.25,43.14,47.55,"(-2.11, +2.30)",943.0,2025-05-31
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,44.33,41.97,46.71,"(-2.36, +2.38)",0.0,2025-05-31
gemma-3-4b-it,42.85,39.85,45.44,"(-3.00, +2.59)",1538.0,2025-05-31
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,42.43,40.0,45.12,"(-2.43, +2.69)",692.0,2025-05-31
krikri-8b-instruct-temp0_35,39.38,36.97,42.09,"(-2.41, +2.71)",712.0,2025-05-31
krikri-8b-instruct-with-thinking-temp0_35,38.81,36.18,41.84,"(-2.63, +3.03)",634.0,2025-05-31
gemma-2-27b-it,33.32,30.92,36.04,"(-2.40, +2.72)",675.0,2025-05-31
command-rplus,31.34,29.04,34.44,"(-2.30, +3.10)",846.0,2025-05-31
krikri-neo-lora-sft-stage-1,29.6,27.06,31.68,"(-2.54, +2.08)",1340.0,2025-05-31
aya-expanse-8b,24.97,23.11,27.13,"(-1.86, +2.16)",954.0,2025-05-31
llama-3.1-70b,23.9,21.19,25.95,"(-2.71, +2.05)",693.0,2025-05-31
llama-3.1-8b,3.45,2.7,4.14,"(-0.75, +0.69)",1079.0,2025-05-31
qwen-3-1.7b,2.34,1.91,2.88,"(-0.43, +0.54)",1645.0,2025-05-31
meltemi-instruct-7b-v1.5-orpo,2.15,1.57,2.86,"(-0.58, +0.71)",715.0,2025-05-31
