model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,63.72,66.13,"(-1.38, +1.03)",636.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,52.44,54.6,"(-0.98, +1.18)",1737.0,2025-02-15
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-15
aya-expanse-32b,42.15,40.8,43.82,"(-1.35, +1.67)",943.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.3,37.7,"(-2.10, +1.30)",0.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.12,36.05,"(-1.43, +1.50)",0.0,2025-02-15
gemma-2-27b-it,31.93,30.31,33.22,"(-1.62, +1.29)",675.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,29.43,32.2,"(-1.42, +1.35)",707.0,2025-02-15
aya-expanse-8b,26.49,25.75,28.21,"(-0.74, +1.72)",954.0,2025-02-15
command-rplus,24.7,23.28,25.75,"(-1.42, +1.05)",846.0,2025-02-15
krikri-annealing-dpo-mixed-run1,21.69,20.58,22.67,"(-1.11, +0.98)",1487.0,2025-02-15
llama-3.1-70b,21.26,19.8,22.46,"(-1.46, +1.20)",693.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.48,18.84,"(-1.13, +1.23)",953.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.63,17.96,"(-1.21, +1.12)",899.0,2025-02-15
krikri-annealing-sft-mixed-run1,14.85,14.07,15.76,"(-0.78, +0.91)",1182.0,2025-02-15
krikri-annealing-sft-stage2-run4,14.05,12.99,15.08,"(-1.06, +1.03)",753.0,2025-02-15
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.8,11.5,"(-0.74, +0.96)",471.0,2025-02-15
command-r,8.81,8.08,9.45,"(-0.73, +0.64)",659.0,2025-02-15
mixtral-8x7b-instruct-v0.1,4.5,3.99,5.0,"(-0.51, +0.50)",540.0,2025-02-15
llama-3.1-8b,4.0,3.5,4.63,"(-0.50, +0.63)",1079.0,2025-02-15
mistral-7b-instruct-v0.2,2.01,1.54,2.38,"(-0.47, +0.37)",548.0,2025-02-15
meltemi-instruct-7b-v1.5-orpo,1.42,1.1,1.75,"(-0.32, +0.33)",715.0,2025-02-15
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-02-15
