model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,85.02,83.6,86.28,"(-1.42, +1.26)",874.0,2025-03-17
deepseek-chat,73.58,72.06,75.28,"(-1.52, +1.70)",1009.0,2025-03-17
claude-3.5-sonnet-v2,65.1,63.23,66.65,"(-1.87, +1.55)",636.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,54.48,52.55,56.29,"(-1.93, +1.81)",966.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,51.52,56.03,"(-2.34, +2.17)",933.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,52.06,55.33,"(-1.36, +1.91)",938.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,50.98,49.16,52.85,"(-1.82, +1.87)",942.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,48.06,51.99,"(-2.02, +1.91)",958.0,2025-03-17
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,45.82,49.09,"(-1.60, +1.67)",901.0,2025-03-17
base_neo_arcee_fusion_round-2_base,45.65,43.4,47.36,"(-2.25, +1.71)",1630.0,2025-03-17
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,43.89,42.0,46.12,"(-1.89, +2.23)",739.0,2025-03-17
aya-expanse-32b,42.15,39.74,43.69,"(-2.41, +1.54)",943.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,39.08,42.36,"(-1.79, +1.49)",756.0,2025-03-17
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,40.17,38.1,42.46,"(-2.07, +2.29)",692.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,36.39,40.39,"(-2.33, +1.67)",788.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.32,38.33,"(-2.08, +1.93)",0.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,32.5,36.39,"(-2.05, +1.84)",0.0,2025-03-17
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,32.73,36.47,"(-1.60, +2.14)",712.0,2025-03-17
gemma-2-27b-it,31.93,29.7,34.0,"(-2.23, +2.07)",675.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,28.07,33.0,"(-2.78, +2.15)",707.0,2025-03-17
aya-expanse-8b,26.49,24.79,28.24,"(-1.70, +1.75)",954.0,2025-03-17
command-rplus,24.7,22.81,26.37,"(-1.89, +1.67)",846.0,2025-03-17
krikri-annealing-dpo-mixed-run1,21.69,20.44,23.14,"(-1.25, +1.45)",1487.0,2025-03-17
llama-3.1-70b,21.26,19.82,22.47,"(-1.44, +1.21)",693.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.56,19.18,"(-1.05, +1.57)",953.0,2025-03-17
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.53,18.6,"(-1.31, +1.76)",899.0,2025-03-17
krikri-annealing-sft-mixed-run1,14.85,13.1,15.97,"(-1.75, +1.12)",1182.0,2025-03-17
krikri-annealing-sft-stage2-run4,14.05,12.66,15.35,"(-1.39, +1.30)",753.0,2025-03-17
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.74,11.75,"(-0.80, +1.21)",471.0,2025-03-17
command-r,8.81,7.91,10.24,"(-0.90, +1.43)",659.0,2025-03-17
mixtral-8x7b-instruct-v0.1,4.5,3.59,5.29,"(-0.91, +0.79)",540.0,2025-03-17
llama-3.1-8b,4.0,3.18,4.84,"(-0.82, +0.84)",1079.0,2025-03-17
mistral-7b-instruct-v0.2,2.01,1.55,2.59,"(-0.46, +0.58)",548.0,2025-03-17
meltemi-instruct-7b-v1.5-orpo,1.42,1.01,1.78,"(-0.41, +0.36)",715.0,2025-03-17
