model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,63.8,66.08,"(-1.30, +0.98)",636.0,2025-02-12
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-02-12
aya-expanse-32b,42.15,40.62,43.98,"(-1.53, +1.83)",943.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,35.96,38.19,"(-0.44, +1.79)",1523.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.73,35.82,"(-0.82, +1.27)",1468.0,2025-02-12
gemma-2-27b-it,31.93,30.81,33.17,"(-1.12, +1.24)",675.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,29.81,32.74,"(-1.04, +1.89)",707.0,2025-02-12
aya-expanse-8b,26.49,25.26,27.37,"(-1.23, +0.88)",954.0,2025-02-12
command-rplus,24.7,24.41,25.88,"(-0.29, +1.18)",846.0,2025-02-12
krikri-annealing-dpo-mixed-run1,21.69,20.47,23.46,"(-1.22, +1.77)",1487.0,2025-02-12
llama-3.1-70b,21.26,20.27,22.21,"(-0.99, +0.95)",693.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.8,19.2,"(-0.81, +1.59)",953.0,2025-02-12
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.98,17.87,"(-0.86, +1.03)",899.0,2025-02-12
krikri-annealing-sft-mixed-run1,14.85,14.42,15.49,"(-0.43, +0.64)",1182.0,2025-02-12
krikri-annealing-sft-stage2-run4,14.05,13.49,14.9,"(-0.56, +0.85)",753.0,2025-02-12
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.82,11.6,"(-0.72, +1.06)",471.0,2025-02-12
command-r,8.81,8.09,9.55,"(-0.72, +0.74)",659.0,2025-02-12
mixtral-8x7b-instruct-v0.1,4.5,3.96,5.01,"(-0.54, +0.51)",540.0,2025-02-12
llama-3.1-8b,4.0,3.45,4.68,"(-0.55, +0.68)",1079.0,2025-02-12
mistral-7b-instruct-v0.2,2.01,1.54,2.33,"(-0.47, +0.32)",548.0,2025-02-12
meltemi-instruct-7b-v1.5-orpo,1.42,1.1,1.76,"(-0.32, +0.34)",715.0,2025-02-12
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-02-12
