model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,93.11,95.15,"(-1.06, +0.98)",1729.0,2025-05-08
gemma-3-27b-it,90.18,89.0,91.21,"(-1.18, +1.03)",1614.0,2025-05-08
qwen-3-32b,87.77,86.34,88.8,"(-1.43, +1.03)",2093.0,2025-05-08
deepseek-chat,83.59,82.13,85.65,"(-1.46, +2.06)",1009.0,2025-05-08
gemma-3-12b-it,83.29,81.97,84.89,"(-1.32, +1.60)",1703.0,2025-05-08
deepseek-reasoner,82.67,81.06,84.42,"(-1.61, +1.75)",874.0,2025-05-08
qwen-3-30b-a3b,80.45,78.68,82.18,"(-1.77, +1.73)",2142.0,2025-05-08
qwen-3-14b,77.83,75.99,79.86,"(-1.84, +2.03)",2160.0,2025-05-08
gpt-4o,53.58,52.27,55.39,"(-1.31, +1.81)",659.0,2025-05-08
gemma-3-4b-it,53.23,51.44,55.4,"(-1.79, +2.17)",1538.0,2025-05-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.2,55.03,"(-2.50, +2.33)",938.0,2025-05-08
Llama-4-Scout-17B-16E-Instruct,52.31,49.88,54.11,"(-2.43, +1.80)",894.0,2025-05-08
mistral-small-3.1-24b-instruct-2503,50.38,47.35,52.49,"(-3.03, +2.11)",914.0,2025-05-08
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-05-08
aya-expanse-32b,45.14,43.09,47.53,"(-2.05, +2.39)",943.0,2025-05-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.31,45.66,"(-2.34, +2.01)",0.0,2025-05-08
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,38.5,36.17,40.81,"(-2.33, +2.31)",692.0,2025-05-08
krikri-8b-instruct-temp0_35,36.42,34.56,38.57,"(-1.86, +2.15)",1354.0,2025-05-08
krikri-8b-instruct-with-thinking-temp0_35,33.58,31.37,35.55,"(-2.21, +1.97)",1185.0,2025-05-08
gemma-2-27b-it,28.69,26.37,31.3,"(-2.32, +2.61)",675.0,2025-05-08
llama-3.1-70b,16.85,14.97,18.51,"(-1.88, +1.66)",693.0,2025-05-08
qwen-3-1.7b,3.65,3.0,4.49,"(-0.65, +0.84)",3537.0,2025-05-08
llama-3.1-8b,3.28,2.62,3.8,"(-0.66, +0.52)",1079.0,2025-05-08
