model,score,rating_q025,rating_q975,CI,avg_tokens,date
claude-3.5-sonnet-v2,65.1,63.29,66.36,"(-1.81, +1.26)",636.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,54.48,52.75,55.68,"(-1.73, +1.20)",1785.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,52.71,55.45,"(-1.15, +1.59)",933.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,52.03,55.43,"(-1.39, +2.01)",938.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,50.98,50.06,52.76,"(-0.92, +1.78)",1742.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,48.46,51.92,"(-1.62, +1.84)",958.0,2025-03-08
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-08
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,46.56,48.87,"(-0.86, +1.45)",901.0,2025-03-08
aya-expanse-32b,42.15,40.71,43.43,"(-1.44, +1.28)",943.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,39.18,42.25,"(-1.69, +1.38)",756.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,36.95,40.76,"(-1.77, +2.04)",788.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.78,37.71,"(-1.62, +1.31)",0.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.06,36.39,"(-1.49, +1.84)",0.0,2025-03-08
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,33.08,36.47,"(-1.25, +2.14)",712.0,2025-03-08
gemma-2-27b-it,31.93,30.62,33.64,"(-1.31, +1.71)",675.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,30.13,32.79,"(-0.72, +1.94)",707.0,2025-03-08
aya-expanse-8b,26.49,25.34,27.92,"(-1.15, +1.43)",954.0,2025-03-08
command-rplus,24.7,23.32,25.67,"(-1.38, +0.97)",846.0,2025-03-08
krikri-annealing-dpo-mixed-run1,21.69,20.86,22.79,"(-0.83, +1.10)",1487.0,2025-03-08
llama-3.1-70b,21.26,20.24,22.46,"(-1.02, +1.20)",693.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-run4,17.61,17.0,18.85,"(-0.61, +1.24)",953.0,2025-03-08
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,16.1,18.32,"(-0.74, +1.48)",899.0,2025-03-08
krikri-annealing-sft-mixed-run1,14.85,14.2,16.3,"(-0.65, +1.45)",1182.0,2025-03-08
krikri-annealing-sft-stage2-run4,14.05,12.96,15.17,"(-1.09, +1.12)",753.0,2025-03-08
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.68,11.51,"(-0.86, +0.97)",471.0,2025-03-08
command-r,8.81,8.06,9.83,"(-0.75, +1.02)",659.0,2025-03-08
mixtral-8x7b-instruct-v0.1,4.5,3.89,5.12,"(-0.61, +0.62)",540.0,2025-03-08
llama-3.1-8b,4.0,3.14,4.81,"(-0.86, +0.81)",1079.0,2025-03-08
mistral-7b-instruct-v0.2,2.01,1.51,2.6,"(-0.50, +0.59)",548.0,2025-03-08
meltemi-instruct-7b-v1.5-orpo,1.42,1.1,1.71,"(-0.32, +0.29)",715.0,2025-03-08
gemma2-9b-it,0.0,0.0,0.0,"(-0.00, +0.00)",3.0,2025-03-08
