model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-chat-v3-0324,94.17,93.31,95.24,"(-0.86, +1.07)",992.0,2025-06-03
qwen-3-235b-a22b-fp8,90.3,89.07,91.46,"(-1.23, +1.16)",1036.0,2025-06-03
gemma-3-27b-it,90.18,88.98,91.22,"(-1.20, +1.04)",1614.0,2025-06-03
qwen-3-32b,87.77,86.31,88.83,"(-1.46, +1.06)",1104.0,2025-06-03
deepseek-chat,83.59,81.75,85.11,"(-1.84, +1.52)",1009.0,2025-06-03
gemma-3-12b-it,83.29,81.82,84.83,"(-1.47, +1.54)",1703.0,2025-06-03
deepseek-reasoner,82.67,81.12,84.49,"(-1.55, +1.82)",874.0,2025-06-03
qwen-3-30b-a3b,80.45,78.77,82.06,"(-1.68, +1.61)",1091.0,2025-06-03
qwen-3-14b,77.83,75.63,79.76,"(-2.20, +1.93)",1092.0,2025-06-03
qwen-3-sft-epoch-1,67.34,65.15,69.74,"(-2.19, +2.40)",1312.0,2025-06-03
gpt-4o,53.58,51.96,55.38,"(-1.62, +1.80)",659.0,2025-06-03
gemma-3-4b-it,53.23,51.48,56.23,"(-1.75, +3.00)",1538.0,2025-06-03
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,52.7,50.68,54.9,"(-2.02, +2.20)",938.0,2025-06-03
Llama-4-Scout-17B-16E-Instruct,52.31,50.32,54.54,"(-1.99, +2.23)",894.0,2025-06-03
mistral-small-3.1-24b-instruct-2503,50.38,47.32,52.44,"(-3.06, +2.06)",914.0,2025-06-03
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-06-03
aya-expanse-32b,45.14,42.97,47.55,"(-2.17, +2.41)",943.0,2025-06-03
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,43.65,41.32,45.88,"(-2.33, +2.23)",0.0,2025-06-03
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,38.5,36.49,40.83,"(-2.01, +2.33)",692.0,2025-06-03
krikri-neo-lora-sft-stage-1,36.55,34.47,38.75,"(-2.08, +2.20)",1340.0,2025-06-03
krikri-8b-instruct-temp0_35,36.42,34.34,39.01,"(-2.08, +2.59)",712.0,2025-06-03
krikri-8b-instruct-with-thinking-temp0_35,33.58,31.36,35.65,"(-2.22, +2.07)",634.0,2025-06-03
gemma-2-27b-it,28.69,26.54,30.8,"(-2.15, +2.11)",675.0,2025-06-03
aya-expanse-8b,25.84,23.75,28.09,"(-2.09, +2.25)",954.0,2025-06-03
command-rplus,25.74,23.8,27.46,"(-1.94, +1.72)",846.0,2025-06-03
llama-3.1-70b,16.85,15.4,18.7,"(-1.45, +1.85)",693.0,2025-06-03
qwen-3-1.7b,3.65,3.01,4.46,"(-0.64, +0.81)",1645.0,2025-06-03
llama-3.1-8b,3.28,2.82,3.84,"(-0.46, +0.56)",1079.0,2025-06-03
meltemi-instruct-7b-v1.5-orpo,1.26,0.87,1.65,"(-0.39, +0.39)",715.0,2025-06-03
