model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,85.02,83.52,86.31,"(-1.50, +1.29)",874.0,2025-03-18
gemma-3-27b-it,81.04,79.55,82.77,"(-1.49, +1.73)",1614.0,2025-03-18
deepseek-chat,73.58,72.24,76.31,"(-1.34, +2.73)",1009.0,2025-03-18
gemma-3-12b-it,71.94,70.23,73.81,"(-1.71, +1.87)",1703.0,2025-03-18
claude-3.5-sonnet-v2,65.1,62.94,66.63,"(-2.16, +1.53)",636.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,54.48,52.68,56.83,"(-1.80, +2.35)",966.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,51.31,55.9,"(-2.55, +2.04)",933.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,51.76,55.05,"(-1.66, +1.63)",938.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,50.98,49.06,53.24,"(-1.92, +2.26)",942.0,2025-03-18
mistral-small-3.1-24b-instruct-2503,50.57,48.35,53.15,"(-2.22, +2.58)",1854.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,48.2,52.34,"(-1.88, +2.26)",958.0,2025-03-18
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-03-18
gemma-3-4b-it,47.46,45.52,49.7,"(-1.94, +2.24)",1538.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,45.35,49.45,"(-2.07, +2.03)",901.0,2025-03-18
base_neo_arcee_fusion_round-2_base,45.65,42.93,48.02,"(-2.72, +2.37)",868.0,2025-03-18
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,43.89,42.02,46.04,"(-1.87, +2.15)",739.0,2025-03-18
aya-expanse-32b,42.15,39.41,43.89,"(-2.74, +1.74)",943.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,38.6,42.92,"(-2.27, +2.05)",756.0,2025-03-18
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,40.17,37.98,42.63,"(-2.19, +2.46)",692.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,36.54,40.56,"(-2.18, +1.84)",788.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.64,38.4,"(-1.76, +2.00)",0.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,33.02,36.17,"(-1.53, +1.62)",0.0,2025-03-18
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,32.79,36.4,"(-1.54, +2.07)",712.0,2025-03-18
gemma-2-27b-it,31.93,30.12,33.94,"(-1.81, +2.01)",675.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,28.59,32.61,"(-2.26, +1.76)",707.0,2025-03-18
aya-expanse-8b,26.49,24.63,28.3,"(-1.86, +1.81)",954.0,2025-03-18
command-rplus,24.7,22.77,25.93,"(-1.93, +1.23)",846.0,2025-03-18
krikri-annealing-dpo-mixed-run1,21.69,20.34,23.15,"(-1.35, +1.46)",1487.0,2025-03-18
llama-3.1-70b,21.26,19.84,23.03,"(-1.42, +1.77)",693.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.56,19.25,"(-1.05, +1.64)",953.0,2025-03-18
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.7,18.23,"(-1.14, +1.39)",899.0,2025-03-18
krikri-annealing-sft-mixed-run1,14.85,13.4,16.16,"(-1.45, +1.31)",1182.0,2025-03-18
krikri-annealing-sft-stage2-run4,14.05,12.84,15.65,"(-1.21, +1.60)",753.0,2025-03-18
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.4,11.53,"(-1.14, +0.99)",471.0,2025-03-18
command-r,8.81,7.72,10.09,"(-1.09, +1.28)",659.0,2025-03-18
mixtral-8x7b-instruct-v0.1,4.5,3.52,5.22,"(-0.98, +0.72)",540.0,2025-03-18
llama-3.1-8b,4.0,3.41,4.8,"(-0.59, +0.80)",1079.0,2025-03-18
mistral-7b-instruct-v0.2,2.01,1.46,2.39,"(-0.55, +0.38)",548.0,2025-03-18
meltemi-instruct-7b-v1.5-orpo,1.42,0.96,1.81,"(-0.46, +0.39)",715.0,2025-03-18
