model,score,rating_q025,rating_q975,CI,avg_tokens,date
deepseek-reasoner,85.02,83.72,86.38,"(-1.30, +1.36)",874.0,2025-04-11
gemma-3-27b-it,81.04,79.58,82.83,"(-1.46, +1.79)",1614.0,2025-04-11
deepseek-chat,73.58,71.55,75.02,"(-2.03, +1.44)",1009.0,2025-04-11
gemma-3-12b-it,71.94,70.59,73.72,"(-1.35, +1.78)",1703.0,2025-04-11
claude-3.5-sonnet-v2,65.1,62.61,66.56,"(-2.49, +1.46)",636.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316,54.48,52.75,56.19,"(-1.73, +1.71)",966.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,53.86,51.21,56.04,"(-2.65, +2.18)",933.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,53.42,51.04,55.47,"(-2.38, +2.05)",938.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-final-checkpoint,50.98,48.82,53.08,"(-2.16, +2.10)",942.0,2025-04-11
mistral-small-3.1-24b-instruct-2503,50.57,48.34,53.16,"(-2.23, +2.59)",914.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,50.08,47.15,51.97,"(-2.93, +1.89)",958.0,2025-04-11
gpt-4o-mini,50.0,50.0,50.0,"(-0.00, +0.00)",713.0,2025-04-11
Llama-4-Scout-17B-16E-Instruct,49.87,47.81,51.81,"(-2.06, +1.94)",1870.0,2025-04-11
gemma-3-4b-it,47.46,45.64,49.17,"(-1.82, +1.71)",1538.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,47.42,45.06,49.66,"(-2.36, +2.24)",901.0,2025-04-11
base_neo_arcee_fusion_round-2_base,45.65,42.92,48.32,"(-2.73, +2.67)",868.0,2025-04-11
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-3-with-IF-checkpoint-2316-with-thinking,43.89,42.1,45.88,"(-1.79, +1.99)",739.0,2025-04-11
aya-expanse-32b,42.15,39.67,44.14,"(-2.48, +1.99)",943.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,40.87,38.48,42.83,"(-2.39, +1.96)",756.0,2025-04-11
krikri-annealing-dpo_max-length-norm-fixes-checkpoint-1560-with-thinking,40.17,37.95,42.49,"(-2.22, +2.32)",692.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,38.72,36.32,40.67,"(-2.40, +1.95)",788.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo-checkpoint-1560,36.4,34.3,38.24,"(-2.10, +1.84)",0.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-simpo,34.55,32.8,36.24,"(-1.75, +1.69)",0.0,2025-04-11
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,34.33,32.59,36.42,"(-1.74, +2.09)",712.0,2025-04-11
gemma-2-27b-it,31.93,30.01,33.9,"(-1.92, +1.97)",675.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.85,29.04,33.11,"(-1.81, +2.26)",707.0,2025-04-11
aya-expanse-8b,26.49,24.73,28.13,"(-1.76, +1.64)",954.0,2025-04-11
command-rplus,24.7,23.21,26.71,"(-1.49, +2.01)",846.0,2025-04-11
krikri-annealing-dpo-mixed-run1,21.69,20.09,23.31,"(-1.60, +1.62)",1487.0,2025-04-11
llama-3.1-70b,21.26,19.83,22.87,"(-1.43, +1.61)",693.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-run4,17.61,16.54,19.16,"(-1.07, +1.55)",953.0,2025-04-11
krikri-annealing-sft-stage2-dpo_max-epoch-1-run4,16.84,15.52,18.36,"(-1.32, +1.52)",899.0,2025-04-11
krikri-annealing-sft-mixed-run1,14.85,13.5,16.2,"(-1.35, +1.35)",1182.0,2025-04-11
krikri-annealing-sft-stage2-run4,14.05,12.57,15.2,"(-1.48, +1.15)",753.0,2025-04-11
krikri-annealing-sft-stage2-dpo_min-length-norm-run4,10.54,9.25,11.56,"(-1.29, +1.02)",471.0,2025-04-11
command-r,8.81,7.9,10.03,"(-0.91, +1.22)",659.0,2025-04-11
mixtral-8x7b-instruct-v0.1,4.5,3.54,5.29,"(-0.96, +0.79)",540.0,2025-04-11
llama-3.1-8b,4.0,3.26,4.89,"(-0.74, +0.89)",1079.0,2025-04-11
mistral-7b-instruct-v0.2,2.01,1.51,2.55,"(-0.50, +0.54)",548.0,2025-04-11
meltemi-instruct-7b-v1.5-orpo,1.42,1.0,1.78,"(-0.42, +0.36)",715.0,2025-04-11
